#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65 1.49012e-08
           3        1.65        1.65 2.10734e-08
           4        1.65        1.65 4.47035e-08
           5        1.65        1.65 6.52936e-08
           6        1.65        1.65 9.06402e-08
           7        1.65        1.65 1.18676e-07
           8        1.65        1.65 1.48452e-07
           9        1.65        1.65 1.79914e-07
          10        1.65        1.65 2.13456e-07
          11        1.65        1.65 2.48858e-07
          12        1.65        1.65 2.85983e-07
          13        1.65        1.65 3.24842e-07
          14        1.65        1.65 3.65176e-07
          15        1.65        1.65 4.07105e-07
          16     1.65001        1.65 4.50498e-07
          17     1.65001        1.65 4.95324e-07
          18     1.65001        1.65 5.41454e-07
          19     1.65001        1.65 5.88985e-07
          20     1.65001        1.65 6.37798e-07
          21     1.65001        1.65 6.87886e-07
          22     1.65001        1.65 7.39169e-07
          23     1.65001        1.65 7.91672e-07
          24     1.65001        1.65  8.4537e-07
          25     1.65001        1.65 9.00218e-07
          26     1.65002     1.65001 9.56178e-07
          27     1.65002     1.65001 1.01325e-06
          28     1.65002     1.65001  1.0714e-06
          29     1.65002     1.65001 1.13062e-06
          30     1.65002     1.65001 1.19088e-06
          31     1.65002     1.65001 1.25217e-06
          32     1.65002     1.65001 1.31447e-06
          33     1.65003     1.65001 1.37778e-06
          34     1.65003     1.65001 1.44205e-06
          35     1.65003     1.65001 1.50729e-06
          36     1.65003     1.65001 1.57347e-06
          37     1.65003     1.65001 1.64059e-06
          38     1.65003     1.65001 1.70864e-06
          39     1.65004     1.65001 1.77759e-06
          40     1.65004     1.65001 1.84744e-06
          41     1.65004     1.65001 1.91818e-06
          42     1.65004     1.65001  1.9898e-06
          43     1.65004     1.65001 2.06227e-06
          44     1.65005     1.65002  2.1356e-06
          45     1.65005     1.65002 2.20978e-06
          46     1.65005     1.65002 2.28479e-06
          47     1.65005     1.65002 2.36063e-06
          48     1.65006     1.65002 2.43729e-06
          49     1.65006     1.65002 2.51475e-06
          50     1.65006     1.65002 2.59301e-06
          51     1.65006     1.65002 2.67207e-06
          52     1.65007     1.65002 2.75191e-06
          53     1.65007     1.65002 2.83252e-06
          54     1.65007     1.65002  2.9139e-06
          55     1.65007     1.65002 2.99605e-06
          56     1.65008     1.65003 3.07895e-06
          57     1.65008     1.65003  3.1626e-06
          58     1.65008     1.65003 3.24699e-06
          59     1.65008     1.65003 3.33212e-06
          60     1.65009     1.65003 3.41797e-06
          61     1.65009     1.65003 3.50456e-06
          62     1.65009     1.65003 3.59185e-06
          63      1.6501     1.65003 3.67986e-06
          64      1.6501     1.65003 3.76858e-06
          65      1.6501     1.65003 3.85799e-06
          66     1.65011     1.65004  3.9481e-06
          67     1.65011     1.65004 4.03891e-06
          68     1.65011     1.65004  4.1304e-06
          69     1.65012     1.65004 4.22256e-06
          70     1.65012     1.65004 4.31541e-06
          71     1.65012     1.65004 4.40892e-06
          72     1.65013     1.65004 4.50311e-06
