#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        3.15        3.15           0
           2     3.14997     3.14999  1.0034e-05
           3     3.14989     3.14995 2.78267e-05
           4     3.14974      3.1499 4.95894e-05
           5     3.14955     3.14983 7.47157e-05
           6     3.14929     3.14974 0.000102812
           7     3.14898     3.14963 0.000133604
           8     3.14861      3.1495 0.000166886
           9     3.14819     3.14936 0.000202501
          10     3.14771     3.14919 0.000240324
          11     3.14717     3.14901 0.000280255
          12     3.14657     3.14881 0.000322212
          13     3.14592     3.14858 0.000366128
          14      3.1452     3.14834 0.000411948
          15     3.14443     3.14808 0.000459627
          16      3.1436      3.1478 0.000509129
          17     3.14271      3.1475 0.000560424
          18     3.14176     3.14718 0.000613488
          19     3.14074     3.14684 0.000668305
          20     3.13967     3.14649  0.00072486
          21     3.13853     3.14611 0.000783145
          22     3.13732     3.14571 0.000843155
          23     3.13606     3.14529 0.000904888
          24     3.13472     3.14485 0.000968347
          25     3.13332     3.14439  0.00103353
          26     3.13186      3.1439  0.00110042
          27     3.13032      3.1434  0.00116905
          28     3.12871     3.14288   0.0012394
          29     3.12704     3.14233  0.00131152
          30     3.12529     3.14176  0.00138541
          31     3.12346     3.14117  0.00146109
          32     3.12156     3.14056  0.00153855
          33     3.11959     3.13992  0.00161783
          34     3.11754     3.13927  0.00169894
          35     3.11541     3.13858  0.00178189
          36      3.1132     3.13788  0.00186672
          37      3.1109     3.13715  0.00195347
          38     3.10852      3.1364  0.00204217
          39     3.10605     3.13562  0.00213286
          40      3.1035     3.13482  0.00222556
          41     3.10085     3.13399  0.00232031
          42     3.09811     3.13313  0.00241715
          43     3.09528     3.13225  0.00251612
          44     3.09235     3.13135  0.00261725
          45     3.08932     3.13041  0.00272059
          46     3.08619     3.12945  0.00282616
          47     3.08296     3.12846    0.002934
          48     3.07963     3.12744  0.00304417
          49     3.07618      3.1264   0.0031567
          50     3.07262     3.12532  0.00327164
          51     3.06896     3.12422  0.00338904
          52     3.06517     3.12308  0.00350893
          53     3.06127     3.12192  0.00363137
          54     3.05725     3.12072  0.00375641
          55      3.0531     3.11949  0.00388408
          56     3.04883     3.11823  0.00401445
          57     3.04443     3.11693  0.00414755
          58      3.0399      3.1156  0.00428343
          59     3.03523     3.11424  0.00442214
          60     3.03043     3.11284  0.00456374
          61     3.02549     3.11141  0.00470826
          62      3.0204     3.10994  0.00485576
          63     3.01517     3.10844   0.0050063
          64     3.00979      3.1069  0.00515993
          65     3.00425     3.10532  0.00531671
          66     2.99856      3.1037  0.00547669
          67     2.99271     3.10205  0.00563993
          68      2.9867     3.10035  0.00580648
          69     2.98052     3.09861  0.00597639
          70     2.97417     3.09683  0.00614974
          71     2.96765     3.09502  0.00632655
          72     2.96096     3.09315  0.00650687
          73      2.9541     3.09125  0.00669076
          74     2.94705      3.0893  0.00687826
          75     2.93982     3.08731  0.00706942
          76      2.9324     3.08527  0.00726428
          77      2.9248     3.08318  0.00746289
          78     2.91701     3.08105  0.00766528
          79     2.90902     3.07888   0.0078715
          80     2.90084     3.07665  0.00808159
          81     2.89246     3.07438  0.00829559
          82     2.88387     3.07205  0.00851352
          83     2.87509     3.06968  0.00873543
          84      2.8661     3.06726  0.00896134
          85      2.8569     3.06478  0.00919128
          86      2.8475     3.06226  0.00942526
          87     2.83789     3.05968  0.00966331
          88     2.82806     3.05704  0.00990545
          89     2.81803     3.05436   0.0101517
          90     2.80778     3.05162    0.010402
          91     2.79732     3.04883   0.0106565
          92     2.78665     3.04598    0.010915
          93     2.77576     3.04307   0.0111777
          94     2.76467     3.04011   0.0114444
          95     2.75336     3.03709   0.0117152
          96     2.74185     3.03401   0.0119901
          97     2.73012     3.03088    0.012269
          98     2.71819     3.02769   0.0125518
          99     2.70606     3.02444   0.0128386
         100     2.69372     3.02113   0.0131293
         101     2.68119     3.01777   0.0134238
         102     2.66846     3.01434   0.0137221
         103     2.65553     3.01086    0.014024
         104     2.64242     3.00732   0.0143297
         105     2.62913     3.00372   0.0146389
         106     2.61566     3.00006   0.0149515
         107     2.60202     2.99634   0.0152675
         108      2.5882     2.99256   0.0155868
         109     2.57423     2.98872   0.0159093
         110     2.56011     2.98482   0.0162348
         111     2.54583     2.98087   0.0165633
         112     2.53142     2.97685   0.0168945
         113     2.51687     2.97278   0.0172285
         114     2.50219     2.96866   0.0175649
         115      2.4874     2.96447   0.0179038
         116     2.47249     2.96023   0.0182448
         117     2.45749     2.95593    0.018588
         118     2.44239     2.95158   0.0189331
         119     2.42721     2.94717     0.01928
         120     2.41195     2.94271   0.0196284
         121     2.39663      2.9382   0.0199783
         122     2.38124     2.93364   0.0203295
         123     2.36581     2.92902   0.0206817
         124     2.35034     2.92435   0.0210348
         125     2.33484     2.91964   0.0213887
         126     2.31932     2.91487   0.0217431
         127     2.30379     2.91006   0.0220979
         128     2.28826      2.9052   0.0224529
         129     2.27274      2.9003   0.0228078
         130     2.25723     2.89535   0.0231626
         131     2.24175     2.89036    0.023517
         132      2.2263     2.88533   0.0238709
         133     2.21089     2.88026   0.0242241
         134     2.19554     2.87515   0.0245763
         135     2.18024        2.87   0.0249275
         136     2.16501     2.86482   0.0252775
         137     2.14986      2.8596    0.025626
         138      2.1348     2.85435    0.025973
         139     2.11983     2.84907   0.0263182
         140     2.10496     2.84375   0.0266615
         141      2.0902     2.83841   0.0270027
         142     2.07555     2.83303   0.0273418
         143     2.06103     2.82764   0.0276784
         144     2.04664     2.82221   0.0280125
         145     2.03239     2.81676    0.028344
         146     2.01828      2.8113   0.0286726
         147     2.00433     2.80581   0.0289983
         148     1.99054      2.8003   0.0293209
         149     1.97691     2.79477   0.0296403
         150     1.96346     2.78923   0.0299564
         151     1.95019     2.78367   0.0302689
         152     1.93712      2.7781   0.0305779
         153     1.92423     2.77252   0.0308831
         154     1.91155     2.76693   0.0311845
         155     1.89908     2.76133   0.0314819
         156     1.88683     2.75573   0.0317753
         157      1.8748     2.75012   0.0320645
         158     1.86299      2.7445   0.0323494
         159     1.85143     2.73888   0.0326299
         160      1.8401     2.73327    0.032906
         161     1.82903     2.72765   0.0331774
         162     1.81821     2.72204   0.0334442
         163     1.80766     2.71643   0.0337062
         164     1.79737     2.71082   0.0339634
         165     1.78735     2.70523   0.0342156
         166     1.77762     2.69964   0.0344627
         167     1.76817     2.69406   0.0347048
         168     1.75901     2.68849   0.0349417
         169     1.75015     2.68294   0.0351733
         170     1.74159     2.67741   0.0353996
         171     1.73334     2.67188   0.0356205
         172      1.7254     2.66638   0.0358359
         173     1.71777      2.6609   0.0360458
         174     1.71046     2.65544   0.0362502
         175     1.70347        2.65   0.0364489
         176     1.69681     2.64458    0.036642
         177     1.69047     2.63919   0.0368293
         178     1.68447     2.63383   0.0370109
         179     1.67879     2.62849   0.0371867
         180     1.67345     2.62318   0.0373567
         181     1.66844     2.61791   0.0375209
         182     1.66377     2.61267   0.0376792
         183     1.65942     2.60746   0.0378316
         184     1.65541     2.60228   0.0379782
         185     1.65172     2.59715   0.0381189
         186     1.64835     2.59205   0.0382538
         187     1.64531     2.58698   0.0383828
         188     1.64259     2.58196   0.0385059
         189     1.64018     2.57698   0.0386233
         190     1.63807     2.57203   0.0387348
         191     1.63626     2.56714   0.0388406
         192     1.63475     2.56228   0.0389407
         193     1.63352     2.55747   0.0390352
         194     1.63257      2.5527    0.039124
         195     1.63189     2.54798   0.0392073
         196     1.63147      2.5433   0.0392851
         197     1.63129     2.53867   0.0393575
         198     1.63136     2.53409   0.0394246
         199     1.63165     2.52955   0.0394865
         200     1.63216     2.52507   0.0395431
         201     1.63288     2.52063   0.0395948
         202     1.63379     2.51624   0.0396414
         203     1.63489      2.5119   0.0396832
         204     1.63616      2.5076   0.0397201
         205     1.63758     2.50336   0.0397525
         206     1.63915     2.49916   0.0397802
         207     1.64086     2.49502   0.0398036
         208     1.64269     2.49092   0.0398226
         209     1.64463     2.48687   0.0398374
         210     1.64667     2.48287   0.0398481
         211      1.6488     2.47892   0.0398548
         212       1.651     2.47501   0.0398577
         213     1.65327     2.47115   0.0398568
         214     1.65559     2.46734   0.0398524
         215     1.65796     2.46358   0.0398444
         216     1.66037     2.45986   0.0398331
         217     1.66279     2.45619   0.0398185
         218     1.66524     2.45256   0.0398008
         219     1.66769     2.44897   0.0397801
         220     1.67015     2.44543   0.0397565
         221     1.67259     2.44194   0.0397301
         222     1.67502     2.43848   0.0397011
         223     1.67744     2.43507   0.0396695
         224     1.67982      2.4317   0.0396354
         225     1.68218     2.42837    0.039599
         226     1.68449     2.42508   0.0395603
         227     1.68677     2.42182   0.0395195
         228       1.689     2.41861   0.0394767
         229     1.69118     2.41543   0.0394319
         230     1.69331     2.41229   0.0393852
         231     1.69539     2.40919   0.0393368
