#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         2.1         2.1           0
           2     2.09998     2.09999 6.68931e-06
           3     2.09992     2.09997 1.85511e-05
           4     2.09983     2.09993 3.30596e-05
           5      2.0997     2.09989 4.98105e-05
           6     2.09953     2.09983 6.85415e-05
           7     2.09932     2.09975 8.90692e-05
           8     2.09908     2.09967 0.000111257
           9     2.09879     2.09957 0.000135001
          10     2.09847     2.09946 0.000160216
          11     2.09811     2.09934 0.000186837
          12     2.09771      2.0992 0.000214808
          13     2.09728     2.09906 0.000244085
          14      2.0968     2.09889 0.000274632
          15     2.09629     2.09872 0.000306418
          16     2.09573     2.09853 0.000339419
          17     2.09514     2.09833 0.000373616
          18      2.0945     2.09812 0.000408992
          19     2.09383      2.0979 0.000445536
          20     2.09311     2.09766  0.00048324
          21     2.09235      2.0974 0.000522096
          22     2.09155     2.09714 0.000562103
          23      2.0907     2.09686 0.000603259
          24     2.08982     2.09656 0.000645565
          25     2.08888     2.09626 0.000689017
          26      2.0879     2.09594 0.000733615
          27     2.08688      2.0956 0.000779364
          28     2.08581     2.09525  0.00082627
          29     2.08469     2.09489 0.000874347
          30     2.08352     2.09451 0.000923609
          31     2.08231     2.09411  0.00097406
          32     2.08104     2.09371   0.0010257
          33     2.07973     2.09328  0.00107855
          34     2.07836     2.09284  0.00113262
          35     2.07694     2.09239  0.00118793
          36     2.07546     2.09192  0.00124448
          37     2.07393     2.09143  0.00130231
          38     2.07235     2.09093  0.00136145
          39      2.0707     2.09041  0.00142191
          40       2.069     2.08988   0.0014837
          41     2.06724     2.08932  0.00154687
          42     2.06541     2.08876  0.00161143
          43     2.06352     2.08817  0.00167742
          44     2.06157     2.08756  0.00174484
          45     2.05955     2.08694  0.00181372
          46     2.05746      2.0863   0.0018841
          47     2.05531     2.08564    0.001956
          48     2.05308     2.08496  0.00202945
          49     2.05079     2.08427  0.00210447
          50     2.04842     2.08355   0.0021811
          51     2.04597     2.08281  0.00225936
          52     2.04345     2.08205  0.00233929
          53     2.04085     2.08128  0.00242091
          54     2.03816     2.08048  0.00250427
          55      2.0354     2.07966  0.00258939
          56     2.03255     2.07882   0.0026763
          57     2.02962     2.07795  0.00276504
          58      2.0266     2.07707  0.00285562
          59     2.02349     2.07616   0.0029481
          60     2.02029     2.07523  0.00304249
          61     2.01699     2.07428  0.00313884
          62      2.0136      2.0733  0.00323718
          63     2.01011     2.07229  0.00333754
          64     2.00652     2.07127  0.00343996
          65     2.00283     2.07021  0.00354448
          66     1.99904     2.06913  0.00365113
          67     1.99514     2.06803  0.00375995
          68     1.99113      2.0669  0.00387098
          69     1.98701     2.06574  0.00398426
          70     1.98278     2.06456  0.00409982
          71     1.97844     2.06334   0.0042177
          72     1.97398      2.0621  0.00433792
          73      1.9694     2.06083  0.00446051
          74      1.9647     2.05953  0.00458551
          75     1.95988      2.0582  0.00471295
          76     1.95494     2.05685  0.00484285
          77     1.94987     2.05546  0.00497526
          78     1.94467     2.05404  0.00511019
          79     1.93935     2.05258  0.00524767
          80     1.93389      2.0511  0.00538773
          81      1.9283     2.04958  0.00553039
          82     1.92258     2.04804  0.00567568
          83     1.91672     2.04645  0.00582362
          84     1.91073     2.04484  0.00597423
          85      1.9046     2.04319  0.00612752
          86     1.89833      2.0415  0.00628351
          87     1.89192     2.03978  0.00644221
          88     1.88538     2.03803  0.00660364
          89     1.87869     2.03624  0.00676779
          90     1.87185     2.03441  0.00693468
          91     1.86488     2.03255  0.00710432
          92     1.85777     2.03065  0.00727669
          93     1.85051     2.02871  0.00745179
          94     1.84311     2.02674  0.00762962
          95     1.83557     2.02473  0.00781016
          96      1.8279     2.02268   0.0079934
          97     1.82008     2.02059  0.00817931
          98     1.81213     2.01846  0.00836787
          99     1.80404     2.01629  0.00855906
         100     1.79581     2.01409  0.00875284
         101     1.78746     2.01185  0.00894918
         102     1.77897     2.00956  0.00914803
         103     1.77036     2.00724  0.00934936
         104     1.76162     2.00488  0.00955312
         105     1.75275     2.00248  0.00975924
         106     1.74377     2.00004  0.00996768
         107     1.73468     1.99756   0.0101784
         108     1.72547     1.99504   0.0103912
         109     1.71616     1.99248   0.0106062
         110     1.70674     1.98988   0.0108232
         111     1.69722     1.98724   0.0110422
         112     1.68761     1.98457    0.011263
         113     1.67791     1.98186   0.0114856
         114     1.66813      1.9791   0.0117099
         115     1.65827     1.97631   0.0119358
         116     1.64833     1.97349   0.0121632
         117     1.63833     1.97062    0.012392
         118     1.62826     1.96772   0.0126221
         119     1.61814     1.96478   0.0128533
         120     1.60797     1.96181   0.0130856
         121     1.59775      1.9588   0.0133189
         122     1.58749     1.95576    0.013553
         123     1.57721     1.95268   0.0137878
         124     1.56689     1.94957   0.0140232
         125     1.55656     1.94642   0.0142591
         126     1.54622     1.94325   0.0144954
         127     1.53586     1.94004   0.0147319
         128     1.52551      1.9368   0.0149686
         129     1.51516     1.93353   0.0152052
         130     1.50482     1.93024   0.0154417
         131      1.4945     1.92691    0.015678
         132      1.4842     1.92356   0.0159139
         133     1.47393     1.92017   0.0161494
         134     1.46369     1.91677   0.0163842
         135     1.45349     1.91334   0.0166183
         136     1.44334     1.90988   0.0168516
         137     1.43324      1.9064    0.017084
         138      1.4232      1.9029   0.0173153
         139     1.41322     1.89938   0.0175455
         140     1.40331     1.89583   0.0177743
         141     1.39346     1.89227   0.0180018
         142      1.3837     1.88869   0.0182278
         143     1.37402     1.88509   0.0184523
         144     1.36443     1.88147    0.018675
         145     1.35492     1.87784    0.018896
         146     1.34552      1.8742   0.0191151
         147     1.33622     1.87054   0.0193322
         148     1.32702     1.86686   0.0195473
         149     1.31794     1.86318   0.0197602
         150     1.30897     1.85949   0.0199709
         151     1.30013     1.85578   0.0201793
         152     1.29141     1.85207   0.0203853
         153     1.28282     1.84835   0.0205887
         154     1.27437     1.84462   0.0207897
         155     1.26605     1.84089    0.020988
         156     1.25788     1.83715   0.0211835
         157     1.24986     1.83341   0.0213763
         158       1.242     1.82967   0.0215663
         159     1.23428     1.82592   0.0217533
         160     1.22674     1.82218   0.0219373
         161     1.21935     1.81843   0.0221183
         162     1.21214     1.81469   0.0222961
         163      1.2051     1.81095   0.0224708
         164     1.19824     1.80722   0.0226422
         165     1.19157     1.80348   0.0228104
         166     1.18508     1.79976   0.0229751
         167     1.17878     1.79604   0.0231365
         168     1.17268     1.79233   0.0232944
         169     1.16677     1.78863   0.0234489
         170     1.16106     1.78494   0.0235997
         171     1.15556     1.78126    0.023747
         172     1.15026     1.77759   0.0238906
         173     1.14518     1.77393   0.0240305
         174     1.14031     1.77029   0.0241668
         175     1.13565     1.76666   0.0242993
         176      1.1312     1.76305    0.024428
         177     1.12698     1.75946   0.0245529
         178     1.12298     1.75588   0.0246739
         179      1.1192     1.75233   0.0247911
         180     1.11563     1.74879   0.0249045
         181      1.1123     1.74527   0.0250139
         182     1.10918     1.74178   0.0251195
         183     1.10628     1.73831   0.0252211
         184      1.1036     1.73486   0.0253188
         185     1.10115     1.73143   0.0254126
         186      1.0989     1.72803   0.0255025
         187     1.09688     1.72465   0.0255885
         188     1.09506     1.72131   0.0256706
         189     1.09345     1.71798   0.0257488
         190     1.09205     1.71469   0.0258232
         191     1.09084     1.71142   0.0258937
         192     1.08983     1.70819   0.0259605
         193     1.08901     1.70498   0.0260234
         194     1.08838      1.7018   0.0260827
         195     1.08793     1.69865   0.0261382
         196     1.08764     1.69553   0.0261901
         197     1.08753     1.69245   0.0262384
         198     1.08757     1.68939   0.0262831
         199     1.08777     1.68637   0.0263243
         200     1.08811     1.68338   0.0263621
         201     1.08859     1.68042   0.0263965
         202      1.0892     1.67749   0.0264276
         203     1.08993      1.6746   0.0264554
         204     1.09077     1.67174   0.0264801
         205     1.09172     1.66891   0.0265016
         206     1.09277     1.66611   0.0265202
         207     1.09391     1.66335   0.0265357
         208     1.09513     1.66061   0.0265484
         209     1.09642     1.65791   0.0265583
         210     1.09778     1.65525   0.0265654
         211      1.0992     1.65261   0.0265699
         212     1.10067     1.65001   0.0265718
         213     1.10218     1.64744   0.0265712
         214     1.10373      1.6449   0.0265683
         215     1.10531     1.64239    0.026563
         216     1.10691     1.63991   0.0265554
         217     1.10853     1.63746   0.0265457
         218     1.11016     1.63504   0.0265339
         219     1.11179     1.63265   0.0265201
         220     1.11343     1.63029   0.0265043
         221     1.11506     1.62796   0.0264868
         222     1.11668     1.62566   0.0264674
         223     1.11829     1.62338   0.0264463
         224     1.11988     1.62113   0.0264236
         225     1.12145     1.61891   0.0263993
         226       1.123     1.61672   0.0263735
         227     1.12451     1.61455   0.0263463
         228       1.126     1.61241   0.0263178
         229     1.12745     1.61029   0.0262879
         230     1.12887      1.6082   0.0262568
         231     1.13026     1.60613   0.0262245
         232     1.13161     1.60408   0.0261911
         233     1.13292     1.60206   0.0261567
         234     1.13419     1.60006   0.0261212
         235     1.13542     1.59808   0.0260848
         236     1.13661     1.59613   0.0260474
         237     1.13777     1.59419   0.0260092
         238     1.13888     1.59228   0.0259702
         239     1.13995     1.59039   0.0259304
         240     1.14098     1.58851   0.0258899
         241     1.14197     1.58666   0.0258487
         242     1.14293     1.58483   0.0258068
         243     1.14384     1.58301   0.0257644
         244     1.14473     1.58122   0.0257213
         245     1.14558     1.57944   0.0256777
         246     1.14639     1.57768   0.0256336
         247     1.14717     1.57594    0.025589
         248     1.14792     1.57421    0.025544
         249     1.14865      1.5725   0.0254985
         250     1.14934     1.57081   0.0254526
         251     1.15001     1.56913   0.0254064
         252     1.15065     1.56747   0.0253597
         253     1.15128     1.56583   0.0253128
         254     1.15188      1.5642   0.0252656
         255     1.15246     1.56258    0.025218
         256     1.15302     1.56098   0.0251702
         257     1.15357      1.5594   0.0251221
         258      1.1541     1.55783   0.0250738
         259     1.15462     1.55627   0.0250253
         260     1.15513     1.55473   0.0249766
         261     1.15562      1.5532   0.0249276
         262     1.15611     1.55168   0.0248785
         263     1.15659     1.55018   0.0248293
         264     1.15706     1.54869   0.0247798
         265     1.15753     1.54721   0.0247302
         266     1.15799     1.54575   0.0246805
         267     1.15845      1.5443   0.0246307
         268      1.1589     1.54286   0.0245807
         269     1.15935     1.54144   0.0245306
         270     1.15979     1.54002   0.0244805
         271     1.16023     1.53862   0.0244302
         272     1.16067     1.53723   0.0243799
