#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         2.7         2.7           0
           2     2.69975     2.69987 8.90234e-05
           3     2.69899     2.69958 0.000246894
           4     2.69774     2.69912 0.000439975
           5     2.69598     2.69849 0.000662808
           6     2.69372      2.6977   0.0009118
           7     2.69097     2.69674  0.00118439
           8     2.68772     2.69561  0.00147863
           9     2.68397     2.69432  0.00179285
          10     2.67973     2.69286   0.0021257
          11       2.675     2.69123  0.00247598
          12     2.66978     2.68945  0.00284261
          13     2.66408     2.68749  0.00322482
          14     2.65789     2.68538  0.00362197
          15     2.65122      2.6831  0.00403341
          16     2.64407     2.68066  0.00445855
          17     2.63643     2.67806  0.00489689
          18     2.62832      2.6753  0.00534799
          19     2.61973     2.67237  0.00581142
          20     2.61066     2.66929   0.0062868
          21     2.60112     2.66604  0.00677373
          22     2.59111     2.66264  0.00727185
          23     2.58063     2.65907   0.0077809
          24     2.56967     2.65534  0.00830064
          25     2.55823     2.65146  0.00883088
          26     2.54633     2.64742  0.00937136
          27     2.53396     2.64321  0.00992179
          28     2.52112     2.63885   0.0104819
          29     2.50782     2.63434   0.0110515
          30     2.49406     2.62966   0.0116303
          31     2.47984     2.62483   0.0122182
          32     2.46515     2.61984   0.0128148
          33     2.45001     2.61469   0.0134201
          34     2.43441     2.60939   0.0140339
          35     2.41837     2.60393   0.0146558
          36     2.40187     2.59832   0.0152857
          37     2.38494     2.59255   0.0159234
          38     2.36756     2.58663   0.0165685
          39     2.34976     2.58056    0.017221
          40     2.33152     2.57433   0.0178805
          41     2.31286     2.56795   0.0185468
          42     2.29379     2.56143   0.0192197
          43      2.2743     2.55475   0.0198988
          44     2.25442     2.54792    0.020584
          45     2.23413     2.54095   0.0212749
          46     2.21346     2.53383   0.0219713
          47     2.19241     2.52657   0.0226729
          48     2.17099     2.51916   0.0233794
          49     2.14921     2.51161   0.0240905
          50     2.12708     2.50392    0.024806
          51      2.1046     2.49609   0.0255253
          52      2.0818     2.48812   0.0262484
          53     2.05869     2.48002   0.0269747
          54     2.03527     2.47178    0.027704
          55     2.01156     2.46341   0.0284359
          56     1.98758     2.45492   0.0291701
          57     1.96333     2.44629   0.0299061
          58     1.93883     2.43754   0.0306436
          59     1.91411     2.42867   0.0313822
          60     1.88917     2.41968   0.0321215
          61     1.86404     2.41057   0.0328611
          62     1.83873     2.40135   0.0336005
          63     1.81326     2.39201   0.0343393
          64     1.78765     2.38257   0.0350772
          65     1.76193     2.37302   0.0358135
          66     1.73611     2.36337   0.0365479
          67     1.71021     2.35362     0.03728
