#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.7         1.7           0
           2     1.69984     1.69992 5.60539e-05
           3     1.69937     1.69974 0.000155458
           4     1.69858     1.69945 0.000277035
           5     1.69747     1.69905 0.000417344
           6     1.69605     1.69855 0.000574124
           7     1.69431     1.69794  0.00074576
           8     1.69227     1.69723 0.000931019
           9      1.6899     1.69642  0.00112892
          10     1.68723      1.6955  0.00133855
          11     1.68425     1.69448  0.00155921
          12     1.68097     1.69335  0.00179026
          13     1.67738     1.69212  0.00203105
          14     1.67348     1.69079  0.00228114
          15     1.66928     1.68936  0.00254021
          16     1.66478     1.68782  0.00280789
          17     1.65997     1.68618  0.00308385
          18     1.65487     1.68444  0.00336778
          19     1.64946      1.6826   0.0036594
          20     1.64376     1.68066  0.00395848
          21     1.63775     1.67862  0.00426479
          22     1.63146     1.67647  0.00457809
          23     1.62486     1.67423   0.0048982
          24     1.61797     1.67189  0.00522495
          25     1.61079     1.66944   0.0055582
          26     1.60331      1.6669  0.00589782
          27     1.59553     1.66425  0.00624362
          28     1.58747     1.66151  0.00659543
          29     1.57912     1.65867  0.00695311
          30     1.57048     1.65573  0.00731649
          31     1.56155     1.65269  0.00768544
          32     1.55233     1.64956  0.00805982
          33     1.54283     1.64632  0.00843953
          34     1.53305     1.64299  0.00882443
          35     1.52298     1.63956  0.00921438
          36     1.51264     1.63604  0.00960924
          37     1.50203     1.63242   0.0100089
          38     1.49114      1.6287   0.0104131
          39     1.47998     1.62488   0.0108218
          40     1.46855     1.62098   0.0112349
          41     1.45687     1.61697    0.011652
          42     1.44492     1.61288   0.0120732
          43     1.43272     1.60869   0.0124983
          44     1.42027      1.6044    0.012927
          45     1.40758     1.60003   0.0133592
          46     1.39464     1.59557   0.0137948
          47     1.38147     1.59101   0.0142335
          48     1.36807     1.58637   0.0146752
          49     1.35445     1.58163   0.0151197
          50     1.34061     1.57681   0.0155668
          51     1.32656     1.57191   0.0160163
          52      1.3123     1.56691    0.016468
          53     1.29785     1.56184   0.0169217
          54     1.28322     1.55668   0.0173771
          55      1.2684     1.55144   0.0178341
          56     1.25341     1.54611   0.0182925
          57     1.23826     1.54071    0.018752
          58     1.22295     1.53523   0.0192123
          59      1.2075     1.52968   0.0196733
          60     1.19192     1.52405   0.0201347
          61     1.17622     1.51835   0.0205963
          62      1.1604     1.51257   0.0210577
          63     1.14448     1.50673   0.0215188
          64     1.12848     1.50082   0.0219792
          65      1.1124     1.49485   0.0224387
          66     1.09625     1.48881   0.0228971
          67     1.08005     1.48271   0.0233539
          68     1.06382     1.47655    0.023809
          69     1.04757     1.47033   0.0242621
          70      1.0313     1.46406   0.0247129
          71     1.01504     1.45773    0.025161
          72    0.998796     1.45136   0.0256062
          73    0.982586     1.44494   0.0260482
          74    0.966425     1.43847   0.0264867
          75    0.950326     1.43196   0.0269213
          76    0.934306     1.42541   0.0273518
          77    0.918379     1.41883    0.027778
          78     0.90256     1.41221   0.0281994
          79    0.886865     1.40556   0.0286158
          80    0.871309     1.39888   0.0290269
          81    0.855908     1.39218   0.0294324
          82    0.840676     1.38545    0.029832
          83    0.825629     1.37871   0.0302254
          84     0.81078     1.37195   0.0306124
          85    0.796144     1.36517   0.0309928
          86    0.781735     1.35839   0.0313661
          87    0.767567      1.3516   0.0317322
          88    0.753651      1.3448   0.0320909
          89    0.740002     1.33801   0.0324418
          90    0.726632     1.33121   0.0327849
          91    0.713551     1.32443   0.0331197
          92    0.700773     1.31765   0.0334463
          93    0.688307     1.31088   0.0337643
          94    0.676163     1.30413   0.0340736
          95    0.664351     1.29739    0.034374
          96    0.652881     1.29068   0.0346654
          97     0.64176     1.28399   0.0349476
          98    0.630995     1.27733   0.0352204
          99    0.620595     1.27069   0.0354839
         100    0.610565     1.26409   0.0357378
         101     0.60091     1.25753   0.0359821
         102    0.591635       1.251   0.0362168
         103    0.582743     1.24451   0.0364416
         104    0.574239     1.23806   0.0366567
         105    0.566123     1.23167    0.036862
         106    0.558399     1.22531   0.0370574
         107    0.551067     1.21901   0.0372429
         108    0.544128     1.21276   0.0374187
         109    0.537581     1.20657   0.0375846
         110    0.531426     1.20043   0.0377407
         111    0.525661     1.19435   0.0378872
         112    0.520283     1.18833   0.0380239
         113    0.515289     1.18238    0.038151
         114    0.510677     1.17649   0.0382687
         115    0.506442     1.17066   0.0383769
         116    0.502579      1.1649   0.0384758
         117    0.499084     1.15921   0.0385655
         118    0.495951     1.15359   0.0386461
         119    0.493174     1.14804   0.0387178
         120    0.490747     1.14256   0.0387806
         121    0.488662     1.13716   0.0388348
         122    0.486912     1.13183   0.0388805
         123     0.48549     1.12657   0.0389179
         124    0.484388     1.12139   0.0389471
         125    0.483596     1.11629   0.0389683
         126    0.483107     1.11127   0.0389818
         127    0.482911     1.10632   0.0389875
         128       0.483     1.10145   0.0389859
         129    0.483365     1.09666    0.038977
         130    0.483994     1.09194    0.038961
         131     0.48488     1.08731   0.0389382
         132    0.486012     1.08276   0.0389088
         133     0.48738     1.07828   0.0388729
         134    0.488974     1.07388   0.0388308
         135    0.490786     1.06956   0.0387826
         136    0.492804     1.06532   0.0387286
         137    0.495017     1.06116    0.038669
         138    0.497417     1.05707    0.038604
         139    0.499993     1.05307   0.0385337
         140    0.502735     1.04913   0.0384585
         141    0.505632     1.04528   0.0383784
