#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.79696     1.79696           0
           2     1.76689     1.78193   0.0106327
           3       1.818     1.79395   0.0121083
           4     1.86828     1.81253   0.0184782
           5       1.853     1.82062   0.0164596
           6     1.86267     1.82763   0.0151347
           7     1.84507     1.83012    0.013176
           8     1.83817     1.83113   0.0115673
           9     1.83241     1.83127   0.0102829
          10      1.8348     1.83162  0.00926068
          11      1.8349     1.83192  0.00842359
          12     1.82253     1.83114   0.0077579
          13     1.83722     1.83161  0.00717525
          14      1.8579     1.83349  0.00690411
          15     1.84034     1.83394  0.00645896
          16     1.87186     1.83631  0.00647546
          17     1.84811     1.83701  0.00613162
          18     1.84435     1.83741  0.00580452
          19     1.87514      1.8394  0.00582878
          20     1.87759     1.84131  0.00584181
          21      1.8762     1.84297  0.00579504
          22     1.87456     1.84441  0.00570679
          23      1.8741      1.8457  0.00560278
          24     1.89306     1.84767  0.00570636
          25     1.85785     1.84808   0.0054926
          26     1.82853     1.84733  0.00533253
          27     1.77315     1.84458   0.0057997
          28     1.78939     1.84261  0.00591803
          29      1.7811     1.84049  0.00608222
          30     1.76047     1.83782  0.00643777
          31     1.79793     1.83653  0.00635739
          32      1.7719     1.83451  0.00647166
          33     1.80508     1.83362   0.0063367
          34     1.82268      1.8333  0.00615849
          35     1.78928     1.83204   0.0061096
          36     1.76767     1.83025  0.00619604
          37     1.80657     1.82961  0.00606155
          38     1.77335     1.82813  0.00608019
          39     1.76735     1.82657   0.0061208
          40     1.79387     1.82576  0.00602214
