#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.378087   -0.378087           0
           2   -0.348167   -0.363127   0.0105782
           3   -0.399232   -0.375162   0.0120951
           4   -0.449571   -0.393764   0.0184885
           5   -0.434287   -0.401869   0.0164716
           6   -0.443854   -0.408867   0.0151399
           7   -0.426308   -0.411358   0.0131805
           8   -0.419323   -0.412354   0.0115705
           9   -0.413565   -0.412488   0.0102857
          10   -0.416003    -0.41284   0.0092631
          11   -0.416089   -0.413135  0.00842571
          12   -0.403894   -0.412365  0.00775868
          13   -0.418586   -0.412844   0.0071766
          14   -0.439128   -0.414721   0.0069052
          15   -0.421586   -0.415179     0.00646
          16   -0.452997   -0.417542  0.00647424
          17    -0.42928   -0.418233   0.0061301
          18   -0.425572   -0.418641  0.00580308
          19   -0.456315   -0.420623  0.00582659
          20   -0.458887   -0.422537  0.00584091
          21   -0.457355   -0.424195  0.00579333
          22    -0.45568   -0.425626  0.00570403
          23   -0.455261   -0.426914  0.00559966
          24   -0.474311   -0.428889  0.00570396
          25     -0.4391   -0.429298  0.00549041
          26   -0.409774   -0.428547  0.00533034
          27   -0.354431   -0.425802  0.00579681
          28   -0.370582    -0.42383  0.00591574
          29   -0.362298   -0.421708  0.00608036
          30   -0.341678    -0.41904  0.00643634
          31   -0.379121   -0.417752  0.00635623
          32   -0.352994   -0.415729  0.00647174
          33   -0.386327   -0.414838  0.00633666
          34   -0.404006   -0.414519  0.00615829
          35   -0.370656   -0.413266  0.00610852
          36   -0.349069   -0.411483  0.00619366
          37   -0.387818   -0.410843   0.0060592
          38   -0.354527   -0.409361  0.00607828
          39   -0.348515   -0.407801  0.00611938
          40   -0.375033   -0.406982  0.00602098
