#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0525608   0.0525608           0
           2   0.0495697   0.0510652  0.00105751
           3    0.051593   0.0512412  0.00071949
           4   0.0534711   0.0517987 0.000724076
           5   0.0495268   0.0513443 0.000707602
           6   0.0526667   0.0515647 0.000623048
           7   0.0510043   0.0514846  0.00053916
           8   0.0476457   0.0510048  0.00065119
           9    0.050726   0.0509738 0.000579571
          10   0.0552202   0.0513984 0.000659068
          11   0.0518267   0.0514374 0.000600302
          12   0.0474065   0.0511015 0.000637366
          13   0.0495705   0.0509837 0.000599119
          14   0.0501483    0.050924 0.000559289
          15   0.0479894   0.0507284 0.000555168
          16   0.0519649   0.0508057 0.000525821
          17   0.0501922   0.0507696 0.000496127
          18   0.0498592    0.050719 0.000471135
          19    0.052228   0.0507984 0.000452983
          20   0.0516247   0.0508397 0.000432214
          21   0.0476397   0.0506874 0.000437671
          22   0.0508404   0.0506943 0.000417832
          23   0.0488625   0.0506147 0.000407186
          24    0.048365   0.0505209 0.000400863
          25   0.0513004   0.0505521 0.000386039
          26   0.0497677   0.0505219 0.000372369
          27   0.0471851   0.0503983 0.000378531
          28   0.0529099    0.050488 0.000375489
          29    0.053675   0.0505979 0.000378281
          30   0.0492444   0.0505528 0.000368352
          31   0.0510628   0.0505693 0.000356837
          32   0.0451187   0.0503989 0.000384193
          33   0.0543455   0.0505185 0.000390721
          34   0.0532162   0.0505979 0.000387201
          35   0.0475202   0.0505099 0.000385994
          36    0.046365   0.0503948 0.000392068
          37   0.0509362   0.0504094 0.000381745
          38   0.0530643   0.0504793 0.000378038
          39   0.0523464   0.0505272 0.000371364
          40   0.0511435   0.0505426 0.000362399
