#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19798     1.19798           0
           2     1.17793     1.18795  0.00708844
           3       1.212     1.19597  0.00807221
           4     1.24552     1.20835   0.0123188
           5     1.23533     1.21375    0.010973
           6     1.24178     1.21842   0.0100898
           7     1.23005     1.22008    0.008784
           8     1.22545     1.22075  0.00771154
           9     1.22161     1.22085  0.00685528
          10      1.2232     1.22108  0.00617379
          11     1.22327     1.22128  0.00561573
          12     1.21502     1.22076  0.00517193
          13     1.22482     1.22107   0.0047835
          14      1.2386     1.22232  0.00460274
          15      1.2269     1.22263  0.00430598
          16     1.24791     1.22421  0.00431697
          17     1.23207     1.22467  0.00408775
          18     1.22956     1.22494  0.00386968
          19     1.25009     1.22627  0.00388585
          20     1.25173     1.22754  0.00389454
          21      1.2508     1.22865  0.00386336
          22     1.24971      1.2296  0.00380453
          23      1.2494     1.23047  0.00373519
          24     1.26204     1.23178  0.00380424
          25     1.23856     1.23205  0.00366173
          26     1.21902     1.23155  0.00355502
          27      1.1821     1.22972  0.00386647
          28     1.19293     1.22841  0.00394535
          29      1.1874     1.22699  0.00405482
          30     1.17365     1.22521  0.00429185
          31     1.19862     1.22436  0.00423826
          32     1.18126     1.22301  0.00431444
          33     1.20339     1.22241  0.00422447
          34     1.21512      1.2222  0.00410566
          35     1.19285     1.22136  0.00407306
          36     1.17845     1.22017  0.00413069
          37     1.20438     1.21974  0.00404103
          38     1.18223     1.21876  0.00405346
          39     1.17823     1.21772  0.00408053
          40     1.19591     1.21717  0.00401476
