#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.41888     1.41888           0
           2     1.41872      1.4188 5.44614e-05
           3     1.41876     1.41879  3.7612e-05
           4     1.41871     1.41877 3.31229e-05
           5     1.41871     1.41876 2.85664e-05
           6     1.41882     1.41877 2.54827e-05
           7     1.41876     1.41877  2.1847e-05
           8     1.41884     1.41878 2.12711e-05
           9     1.41884     1.41878 2.01956e-05
          10      1.4188     1.41878 1.82326e-05
          11     1.41881     1.41879 1.67349e-05
          12     1.41864     1.41877 1.95098e-05
          13     1.41864     1.41876  2.0602e-05
          14     1.41877     1.41876 1.91361e-05
          15     1.41876     1.41876 1.78642e-05
          16     1.41886     1.41877 1.77997e-05
          17     1.41883     1.41877 1.70947e-05
          18     1.41877     1.41877 1.61451e-05
          19     1.41883     1.41878 1.55382e-05
          20     1.41871     1.41877 1.51382e-05
          21     1.41884     1.41878 1.47625e-05
          22     1.41888     1.41878 1.48935e-05
          23     1.41884     1.41878 1.44463e-05
          24     1.41875     1.41878 1.38978e-05
          25     1.41875     1.41878 1.34182e-05
          26     1.41876     1.41878 1.29257e-05
          27     1.41872     1.41878 1.26417e-05
          28     1.41881     1.41878 1.22364e-05
          29      1.4188     1.41878 1.18315e-05
          30     1.41879     1.41878 1.14485e-05
          31     1.41881     1.41878 1.11245e-05
          32      1.4189     1.41878 1.14078e-05
          33     1.41876     1.41878 1.10958e-05
          34     1.41868     1.41878 1.12005e-05
          35     1.41863     1.41878 1.17278e-05
          36      1.4186     1.41877 1.23825e-05
          37     1.41875     1.41877 1.20582e-05
          38     1.41882     1.41877 1.18111e-05
          39     1.41883     1.41877 1.16117e-05
          40     1.41884     1.41878 1.14304e-05
