#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.68375     1.68375           0
           2     1.66586     1.67481  0.00632633
           3     1.65877     1.66946  0.00606997
           4     1.67277     1.67029  0.00460863
           5     1.67057     1.67035  0.00368725
           6     1.64766     1.66657  0.00462088
           7     1.66877     1.66688   0.0039715
           8      1.6902     1.66979  0.00441679
           9     1.67532     1.67041  0.00396849
          10     1.65275     1.66864  0.00394514
          11     1.65423     1.66733  0.00379789
          12     1.66412     1.66706  0.00349081
          13     1.64836     1.66563  0.00350641
          14     1.62571     1.66277   0.0042602
          15     1.68695     1.66439  0.00427024
          16     1.67767     1.66522  0.00408329
          17     1.62973     1.66313  0.00434397
          18     1.63856     1.66176  0.00431179
          19     1.67447     1.66243  0.00413641
          20     1.62174      1.6604  0.00440159
          21     1.67206     1.66095  0.00422688
          22     1.66081     1.66095  0.00403476
          23     1.67588      1.6616  0.00391121
          24     1.57724     1.65808   0.0050882
          25     1.63618     1.65721  0.00495955
          26     1.66025     1.65732  0.00477017
          27     1.63958     1.65667  0.00463856
          28     1.66692     1.65703  0.00448733
          29     1.65568     1.65698  0.00433283
          30     1.64551      1.6566  0.00420525
          31      1.6564      1.6566   0.0040696
          32     1.64541     1.65625  0.00395742
          33     1.63427     1.65558  0.00389314
          34     1.65127     1.65545   0.0037807
          35     1.64089     1.65504   0.0036955
          36     1.66027     1.65518   0.0035957
          37     1.67169     1.65563  0.00352609
          38     1.63322     1.65504  0.00348227
          39      1.6833     1.65576  0.00346754
          40     1.66512       1.656  0.00338873
