#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47678    -5.47678           0
           2    -5.45624    -5.46651  0.00726358
           3    -5.44987    -5.46097  0.00663004
           4    -5.46417    -5.46177  0.00502081
           5     -5.4624    -5.46189  0.00401822
           6    -5.43783    -5.45788  0.00496109
           7    -5.46055    -5.45826  0.00426699
           8    -5.48262    -5.46131   0.0046958
           9    -5.46594    -5.46182  0.00420214
          10    -5.44408    -5.46005  0.00413951
          11    -5.44508    -5.45869  0.00398066
          12     -5.4561    -5.45847  0.00365477
          13    -5.43981    -5.45704   0.0036447
          14    -5.41795    -5.45425  0.00432332
          15    -5.47713    -5.45577  0.00429578
          16    -5.46978    -5.45665  0.00411549
          17     -5.4197    -5.45447  0.00441017
          18    -5.42982     -5.4531  0.00437271
          19    -5.46665    -5.45382   0.0042003
          20    -5.40952     -5.4516  0.00453686
          21    -5.46199     -5.4521  0.00434771
          22    -5.45436     -5.4522  0.00415131
          23    -5.46674    -5.45283  0.00401866
          24    -5.36848    -5.44932  0.00516425
          25    -5.42856    -5.44849  0.00502398
          26    -5.45364    -5.44868  0.00483466
          27    -5.43183    -5.44806  0.00469574
          28    -5.45736    -5.44839  0.00453976
          29    -5.44771    -5.44837  0.00438328
          30     -5.4376    -5.44801  0.00425184
          31    -5.44889    -5.44804  0.00411478
          32    -5.43563    -5.44765  0.00400441
          33    -5.42641    -5.44701  0.00393443
          34    -5.44577    -5.44697  0.00381888
          35    -5.43177    -5.44654  0.00373439
          36    -5.45159    -5.44668   0.0036333
          37    -5.46584    -5.44719  0.00357183
          38    -5.42736    -5.44667  0.00351576
          39    -5.47594    -5.44742  0.00350477
          40    -5.45697    -5.44766  0.00342526
