#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.07529     2.07529           0
           2     2.21229     2.14379   0.0484373
           3     2.15385     2.14715   0.0324074
           4     2.09688     2.13458   0.0266308
           5     2.06215     2.12009   0.0249352
           6     2.26472      2.1442   0.0302653
           7     2.08406     2.13561   0.0271335
           8     2.05173     2.12512   0.0256879
           9     2.05377     2.11719   0.0240259
          10     2.09157     2.11463   0.0217594
          11     2.08782     2.11219   0.0199174
          12     2.13906     2.11443    0.018383
          13     2.27247     2.12659   0.0205998
          14     2.27365     2.13709   0.0216416
          15      2.1709     2.13935   0.0203158
          16     2.09742     2.13673   0.0192144
          17     2.42621     2.15376   0.0244937
          18     2.25129     2.15917   0.0237247
          19     2.13122      2.1577   0.0225216
          20     2.47169      2.1734   0.0263042
          21     2.14942     2.17226   0.0250764
          22     2.14951     2.17123   0.0239579
          23     2.08613     2.16753   0.0232001
          24     2.49711     2.18126   0.0259817
          25     2.16178     2.18048   0.0249541
          26     2.12119      2.1782   0.0240983
          27     2.22316     2.17986   0.0232633
          28      2.1686     2.17946   0.0224359
          29     2.13464     2.17792   0.0217154
          30      2.1916     2.17837   0.0209963
          31     2.20875     2.17935   0.0203419
          32     2.27696      2.1824   0.0199336
          33     2.17516     2.18218   0.0193307
          34     2.15171     2.18129    0.018783
          35     2.22373      2.1825   0.0182854
          36     2.18196     2.18249   0.0177775
          37     2.03652     2.17854   0.0177294
          38      2.1984     2.17906   0.0172705
          39     2.07253     2.17633   0.0170423
          40     2.11588     2.17482   0.0166831
