#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1225      1.1225           0
           2     1.11057     1.11654  0.00421755
           3     1.10585     1.11297  0.00404664
           4     1.11518     1.11353  0.00307242
           5     1.11371     1.11356  0.00245817
           6     1.09844     1.11104  0.00308059
           7     1.11251     1.11125  0.00264767
           8      1.1268      1.1132  0.00294452
           9     1.11688     1.11361  0.00264566
          10     1.10183     1.11243   0.0026301
          11     1.10282     1.11155  0.00253193
          12     1.10941     1.11138  0.00232721
          13      1.0989     1.11042   0.0023376
          14     1.08381     1.10852  0.00284013
          15     1.12463     1.10959  0.00284682
          16     1.11845     1.11014  0.00272219
          17     1.08649     1.10875  0.00289598
          18     1.09237     1.10784  0.00287452
          19     1.11632     1.10829   0.0027576
          20     1.08116     1.10693   0.0029344
          21     1.11471      1.1073  0.00281792
          22     1.10721      1.1073  0.00268984
          23     1.11725     1.10773  0.00260747
          24     1.05149     1.10539  0.00339214
          25     1.09078      1.1048  0.00330637
          26     1.10683     1.10488  0.00318012
          27     1.09305     1.10444  0.00309237
          28     1.11128     1.10469  0.00299155
          29     1.10379     1.10466  0.00288856
          30     1.09701      1.1044   0.0028035
          31     1.10427      1.1044  0.00271307
          32     1.09694     1.10416  0.00263828
          33     1.08951     1.10372  0.00259543
          34     1.10085     1.10364  0.00252047
          35     1.09393     1.10336  0.00246367
          36     1.10685     1.10346  0.00239713
          37     1.11446     1.10375  0.00235073
          38     1.08881     1.10336  0.00232151
          39      1.1222     1.10384  0.00231169
          40     1.11008       1.104  0.00225915
