#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.79303    -3.79303           0
           2    -3.79038     -3.7917 0.000937253
           3     -3.7911     -3.7915 0.000645809
           4     -3.7914    -3.79148 0.000484886
           5    -3.79182    -3.79155 0.000392806
           6    -3.79017    -3.79132 0.000388558
           7    -3.79178    -3.79138  0.00033862
           8    -3.79243    -3.79151 0.000320336
           9    -3.79062    -3.79142 0.000299827
          10    -3.79134    -3.79141 0.000269948
          11    -3.79085    -3.79136 0.000250112
          12    -3.79198    -3.79141 0.000234579
          13    -3.79145    -3.79141  0.00021656
          14    -3.79224    -3.79147 0.000209062
          15    -3.79017    -3.79138 0.000212255
          16     -3.7921    -3.79143 0.000203675
          17    -3.78996    -3.79134 0.000209137
          18    -3.79126    -3.79134 0.000197571
          19    -3.79218    -3.79138 0.000192033
          20    -3.78777     -3.7912 0.000253389
          21    -3.78993    -3.79114 0.000248468
          22    -3.79355    -3.79125 0.000260242
          23    -3.79086    -3.79123 0.000249483
          24    -3.79124    -3.79123 0.000239089
          25    -3.79238    -3.79128 0.000233894
          26    -3.79339    -3.79136 0.000238582
          27    -3.79225    -3.79139 0.000231999
          28    -3.79044    -3.79136 0.000226211
          29    -3.79203    -3.79138 0.000219572
          30    -3.79209    -3.79141 0.000213507
          31    -3.79248    -3.79144 0.000209431
          32    -3.79023     -3.7914 0.000206299
          33    -3.79215    -3.79143 0.000201274
          34    -3.79449    -3.79152 0.000214624
          35    -3.79088     -3.7915 0.000209269
          36    -3.79133    -3.79149 0.000203511
          37    -3.79415    -3.79157 0.000210301
          38    -3.79414    -3.79163 0.000215432
          39    -3.79264    -3.79166 0.000211451
          40    -3.79185    -3.79166 0.000206218
