#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20413     1.20413           0
           2     1.20783     1.20598  0.00130865
           3     1.20936      1.2071   0.0012685
           4     1.21128     1.20815  0.00131213
           5     1.20977     1.20847  0.00108888
           6      1.2032     1.20759  0.00121097
           7     1.21151     1.20815  0.00116042
           8     1.21238     1.20868  0.00112904
           9     1.19745     1.20743  0.00154662
          10     1.20891     1.20758  0.00139903
          11     1.20425     1.20728  0.00130416
          12     1.20302     1.20692  0.00124272
          13     1.20678     1.20691  0.00114718
          14     1.21095      1.2072  0.00110094
          15     1.20793     1.20725  0.00102862
          16     1.20558     1.20715 0.000969618
          17     1.20872     1.20724 0.000916972
          18     1.21115     1.20745 0.000891366
          19     1.20434     1.20729 0.000859413
          20     1.20347      1.2071 0.000837405
          21     1.21247     1.20736 0.000835627
          22     1.20737     1.20736 0.000797644
          23      1.2028     1.20716 0.000787205
          24     1.20712     1.20716 0.000754406
          25     1.20866     1.20722 0.000726625
          26     1.21035     1.20734 0.000708606
          27     1.20509     1.20725 0.000687228
          28     1.20773     1.20727  0.00066289
          29      1.2063     1.20724  0.00064088
          30     1.20918      1.2073 0.000622776
          31     1.20338     1.20717 0.000615431
          32     1.20506     1.20711  0.00059975
          33     1.20917     1.20717 0.000584834
          34     1.20677     1.20716 0.000567753
          35     1.20361     1.20706  0.00056051
          36     1.20869      1.2071 0.000546776
          37     1.20411     1.20702 0.000537935
          38     1.20794     1.20705 0.000524318
          39     1.21433     1.20723 0.000543103
          40     1.20954     1.20729 0.000532576
