#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.51454    -7.51454           0
           2    -7.51852    -7.51653  0.00140631
           3    -7.52001    -7.51769  0.00133192
           4    -7.52202    -7.51877  0.00136932
           5    -7.52005    -7.51903  0.00111889
           6    -7.51369    -7.51814  0.00123601
           7    -7.52143    -7.51861  0.00114552
           8     -7.5247    -7.51937  0.00122946
           9    -7.50778    -7.51808  0.00163343
          10    -7.52019    -7.51829  0.00148359
          11      -7.515    -7.51799  0.00137861
          12    -7.51409    -7.51767  0.00130147
          13    -7.51699    -7.51762   0.0012024
          14    -7.52077    -7.51784  0.00113738
          15    -7.51859    -7.51789  0.00106265
          16     -7.5164     -7.5178  0.00100031
          17     -7.5185    -7.51784 0.000942318
          18     -7.5222    -7.51808 0.000920538
          19     -7.5156    -7.51795 0.000881335
          20    -7.51458    -7.51778 0.000853268
          21     -7.5237    -7.51806 0.000857948
          22     -7.5184    -7.51808 0.000819089
          23    -7.51365    -7.51789 0.000805752
          24    -7.51858    -7.51792 0.000772698
          25    -7.51955    -7.51798 0.000744548
          26    -7.52076    -7.51809 0.000723562
          27    -7.51606    -7.51801 0.000700656
          28    -7.51857    -7.51803 0.000675911
          29    -7.51697      -7.518 0.000653603
          30    -7.51841    -7.51801 0.000631965
          31    -7.51381    -7.51787 0.000625912
          32    -7.51546     -7.5178 0.000610885
          33    -7.52028    -7.51787 0.000596981
          34    -7.51715    -7.51785 0.000579801
          35    -7.51417    -7.51775 0.000572702
          36    -7.51874    -7.51778 0.000557451
          37    -7.51588    -7.51772 0.000544735
          38    -7.51796    -7.51773 0.000530434
          39    -7.52511    -7.51792  0.00054952
          40    -7.52014    -7.51797  0.00053857
