#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.66187     9.66187           0
           2     9.62728     9.64458   0.0122317
           3     9.62229     9.63715   0.0101624
           4     9.62693     9.63459  0.00793659
           5      9.6386     9.63539  0.00638956
           6     9.65548     9.63874  0.00613901
           7     9.62208     9.63636  0.00570492
           8     9.62119     9.63446  0.00529756
           9     9.69233     9.64089  0.00767629
          10     9.63922     9.64073  0.00691049
          11     9.67885     9.64419  0.00709833
          12     9.66873     9.64624   0.0067949
          13     9.63975     9.64574   0.0062905
          14     9.63051     9.64465  0.00593449
          15     9.63873     9.64426  0.00555196
          16     9.66676     9.64566   0.0053801
          17     9.65732     9.64635  0.00510716
          18     9.63145     9.64552     0.00489
          19     9.65328     9.64593  0.00464967
          20     9.65764     9.64651  0.00445389
          21     9.63654     9.64604  0.00426704
          22     9.66281      9.6468  0.00414061
          23     9.68552     9.64849  0.00428918
          24     9.66709     9.64926  0.00417995
          25     9.65206     9.64937  0.00401425
          26     9.63645     9.64888   0.0038905
          27     9.67916        9.65  0.00390474
          28     9.65241     9.65008  0.00376624
          29     9.65662     9.65031  0.00364311
          30     9.64402      9.6501   0.0035277
          31     9.66435     9.65056  0.00344374
          32     9.63785     9.65016  0.00335893
          33     9.64574     9.65003  0.00325982
          34     9.64837     9.64998  0.00316431
          35     9.66634     9.65045  0.00310822
          36     9.64197     9.65021  0.00303078
          37      9.6814     9.65105  0.00306387
          38     9.66746     9.65149  0.00301349
          39     9.61141     9.65046  0.00310646
          40     9.63859     9.65016  0.00304294
