#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     0.80275     0.80275           0
           2    0.805218    0.803984 0.000872434
           3    0.806239    0.804736 0.000845665
           4    0.807518    0.805431 0.000874756
           5     0.80651    0.805647  0.00072592
           6    0.802133    0.805061 0.000807316
           7    0.807677    0.805435 0.000773611
           8     0.80825    0.805787 0.000752696
           9    0.798298    0.804955  0.00103108
          10    0.805942    0.805053 0.000932687
          11    0.802834    0.804852 0.000869441
          12    0.802016    0.804615 0.000828483
          13    0.804522    0.804608 0.000764785
          14    0.807302    0.804801 0.000733961
          15    0.805287    0.804833 0.000685748
          16    0.803719    0.804763 0.000646412
          17     0.80581    0.804825 0.000611315
          18    0.807431     0.80497 0.000594244
          19    0.802892     0.80486 0.000572942
          20    0.802313    0.804733  0.00055827
          21    0.808312    0.804904 0.000557085
          22    0.804911    0.804904 0.000531763
          23    0.801865    0.804772 0.000524803
          24    0.804748    0.804771 0.000502937
          25    0.805774    0.804811 0.000484417
          26      0.8069    0.804891 0.000472404
          27    0.803394    0.804836 0.000458152
          28     0.80515    0.804847 0.000441927
          29    0.804198    0.804825 0.000427253
          30    0.806119    0.804868 0.000415184
          31     0.80225    0.804783 0.000410287
          32    0.803371    0.804739 0.000399833
          33    0.806116    0.804781 0.000389889
          34    0.804513    0.804773 0.000378502
          35    0.802407    0.804705 0.000373673
          36    0.805795    0.804736 0.000364517
          37    0.802743    0.804682 0.000358624
          38    0.805292    0.804698 0.000349545
          39    0.809552    0.804822 0.000362068
          40     0.80636    0.804861 0.000355051
