#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.31042    -6.31042           0
           2    -6.31069    -6.31056 9.76619e-05
           3    -6.31065    -6.31059 6.98203e-05
           4    -6.31074    -6.31063 6.18529e-05
           5    -6.31028    -6.31056 7.90678e-05
           6    -6.31049    -6.31055  6.6565e-05
           7    -6.30992    -6.31046 0.000100838
           8    -6.31232    -6.31069 0.000235404
           9    -6.31033    -6.31065 0.000212529
          10    -6.31127    -6.31071 0.000200232
          11    -6.31075    -6.31072 0.000182054
          12    -6.31107    -6.31075 0.000169255
          13    -6.31021     -6.3107 0.000161171
          14    -6.30981    -6.31064 0.000161692
          15    -6.31066    -6.31064 0.000150917
          16    -6.31082    -6.31065 0.000141902
          17    -6.30978     -6.3106 0.000142477
          18    -6.31105    -6.31063 0.000136729
          19    -6.31126    -6.31066 0.000133506
          20    -6.31111    -6.31068 0.000128679
          21    -6.31124    -6.31071 0.000125215
          22    -6.31104    -6.31072 0.000120406
          23    -6.31086    -6.31073 0.000115312
          24    -6.31146    -6.31076 0.000114444
          25    -6.31089    -6.31076 0.000109983
          26    -6.31041    -6.31075 0.000106581
          27    -6.31097    -6.31076 0.000102936
          28    -6.31084    -6.31076 9.93011e-05
          29    -6.31067    -6.31076 9.59293e-05
          30    -6.30924    -6.31071 0.000105326
          31    -6.31044     -6.3107 0.000102289
          32     -6.3104    -6.31069 9.95101e-05
          33    -6.31111     -6.3107 9.72857e-05
          34    -6.31038    -6.31069 9.48797e-05
          35    -6.31056    -6.31069 9.22461e-05
          36    -6.31004    -6.31067 9.14163e-05
          37    -6.31177     -6.3107 9.35999e-05
          38    -6.31002    -6.31068  9.2848e-05
          39    -6.31078    -6.31069 9.04989e-05
          40     -6.3106    -6.31068 8.82635e-05
