#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.015548            0.015548                   0
                   2            0.020836            0.018192          0.00186959
                   3             0.01994           0.0187747           0.0013341
                   4            0.031384            0.021927          0.00290759
                   5            0.044788           0.0264992          0.00470474
                   6            0.022736            0.025872          0.00396221
                   7            0.033616           0.0269783          0.00354726
                   8             0.03408            0.027866          0.00321301
                   9             0.03188            0.028312           0.0028868
                  10            0.030212            0.028502          0.00260436
                  11            0.018292           0.0275738           0.0025276
                  12            0.024552            0.027322          0.00232947
                  13            0.024672           0.0271182          0.00215918
                  14            0.018236           0.0264837          0.00209609
                  15            0.036972           0.0271829          0.00206969
                  16            0.031228           0.0274358          0.00195572
                  17            0.032792           0.0277508          0.00186588
                  18            0.031112           0.0279376          0.00177154
                  19            0.023736           0.0277164          0.00169205
                  20             0.01886           0.0272736          0.00166438
