#     BLOCK:         ACTUAL_M:         M_AVE:         ERROR:
                   1            0.378152            0.378152                   0
                   2            0.448304            0.413228           0.0248025
                   3            0.353764            0.393407           0.0231372
                   4            0.360764            0.385246           0.0187369
                   5            0.388096            0.385816           0.0149982
                   6            0.365672            0.382459           0.0128687
                   7            0.316248               0.373           0.0140838
                   8            0.429988            0.380124           0.0140095
                   9            0.233188            0.363797            0.019799
                  10            0.401552            0.367573           0.0181755
                  11            0.377448            0.368471           0.0165454
                  12            0.344684            0.366488           0.0152849
                  13            0.268148            0.358924            0.015871
                  14            0.368336            0.359596           0.0147516
                  15            0.371852            0.360413           0.0137908
                  16            0.316908            0.357694           0.0131942
                  17            0.369068            0.358363            0.012435
                  18             0.27608            0.353792           0.0125563
                  19            0.339888             0.35306           0.0119168
                  20            0.251416            0.347978           0.0123572
