#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.426739    0.426739           0
           2      0.4227     0.42472  0.00142813
           3    0.421822    0.423754  0.00123629
           4    0.424541    0.423951 0.000942764
           5    0.443728    0.427906  0.00361736
           6    0.412366    0.425316  0.00383111
           7    0.465649    0.431078   0.0062642
           8    0.469531    0.435885  0.00708939
           9     0.44273    0.436645  0.00634235
          10     0.39284    0.432265  0.00706067
          11     0.40677    0.429947  0.00678854
          12    0.449661     0.43159  0.00641854
          13    0.430264    0.431488  0.00592562
          14    0.413221    0.430183  0.00564417
          15    0.419334     0.42946  0.00531404
          16     0.45338    0.430955  0.00518795
          17    0.439856    0.431478  0.00490913
          18    0.392144    0.429293  0.00509962
          19    0.411448    0.428354  0.00491694
          20    0.468491    0.430361  0.00506411
