#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.288901    0.288901           0
           2    0.292624    0.290763  0.00131605
           3     0.29154    0.291022  0.00090251
           4    0.298582    0.292912  0.00177124
           5    0.295715    0.293472   0.0015031
           6    0.304738     0.29535  0.00212291
           7    0.302402    0.296357  0.00204473
           8    0.285565    0.295008  0.00218938
           9    0.301617    0.295743  0.00206558
          10    0.297329    0.295901   0.0018651
          11    0.295456    0.295861  0.00169599
          12    0.288781    0.295271   0.0016541
          13    0.297225    0.295421  0.00153368
          14    0.287249    0.294837   0.0015312
          15    0.303347    0.295405   0.0015306
          16    0.306979    0.296128  0.00159677
          17    0.297246    0.296194   0.0015042
          18    0.286142    0.295635  0.00152077
          19    0.298824    0.295803  0.00144995
          20    0.275869    0.294806  0.00168556
