#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.52374     2.52374           0
           2     2.54575     2.53474  0.00778195
           3     2.58142      2.5503   0.0137231
           4     2.65559     2.57663   0.0250119
           5     2.57913     2.57713   0.0200145
           6     2.57791     2.57726   0.0166792
           7     2.46859     2.56173   0.0202718
           8     2.57626     2.56355    0.017819
           9     2.50513     2.55706   0.0169803
          10     2.45761     2.54711   0.0179601
          11     2.52885     2.54545   0.0164039
          12     2.43635     2.53636   0.0173747
          13     2.44685     2.52948   0.0173489
          14     2.51513     2.52845   0.0161399
          15     2.36151     2.51732   0.0185074
          16     2.36317     2.50769   0.0196994
          17     2.45341      2.5045   0.0187975
          18      2.4373     2.50076   0.0181201
          19     2.51554     2.50154   0.0171831
          20      2.5469     2.50381    0.016473
