#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.49148     7.49148           0
           2     7.60449     7.54798   0.0399544
           3     7.34942     7.48179   0.0602509
           4     7.14047     7.39646   0.0866197
           5     6.85214      7.2876    0.119513
           6     7.48789     7.32098    0.104152
           7     7.62276     7.36409   0.0977891
           8     7.35955     7.36352   0.0855671
           9     7.46375     7.37466   0.0767809
          10     7.76047     7.41324   0.0781976
          11     7.34015      7.4066   0.0713704
          12     7.24533     7.39316   0.0666762
          13      7.6527     7.41312   0.0644669
          14     7.14651     7.39408   0.0626117
          15     7.61206     7.40861   0.0601003
          16     6.86184     7.37444   0.0653412
          17     7.56166     7.38545   0.0624188
          18      7.3468      7.3833   0.0589881
          19     7.82317     7.40645   0.0602553
          20      8.1888     7.44557   0.0687777
