#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.962632   -0.962632           0
           2   -0.979112   -0.970872  0.00582656
           3   -0.978808   -0.973517   0.0044445
           4    -0.96844   -0.972248  0.00350995
           5   -0.972384   -0.972275  0.00280807
           6   -0.984288   -0.974277  0.00296923
           7   -0.980208   -0.975125  0.00266319
           8     -0.9626   -0.973559  0.00275225
           9   -0.980464   -0.974326  0.00255114
          10   -0.973136   -0.974207   0.0022988
          11    -0.96972   -0.973799   0.0021257
          12   -0.972768   -0.973713   0.0019503
          13    -0.96952   -0.973391  0.00182676
          14   -0.972984   -0.973362   0.0016965
          15   -0.972728   -0.973319  0.00158393
          16   -0.974368   -0.973385  0.00148629
          17   -0.967712   -0.973051  0.00143583
          18    -0.97564   -0.973195  0.00136325
          19   -0.980704    -0.97359  0.00134757
          20    -0.96936   -0.973379  0.00129668
