#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.515032   -0.515032           0
           2   -0.513136   -0.514084 0.000670337
           3   -0.516608   -0.514925 0.000819516
           4    -0.51896   -0.515934   0.0010681
           5     -0.5184   -0.516427  0.00096163
           6    -0.51508   -0.516203 0.000827156
           7   -0.516096   -0.516187 0.000709131
           8   -0.514656   -0.515996 0.000645811
           9   -0.515112   -0.515898 0.000581476
          10   -0.514184   -0.515726 0.000548002
          11   -0.515856   -0.515738  0.00049831
          12    -0.51448   -0.515633 0.000467684
          13   -0.514032    -0.51551 0.000447636
          14   -0.518672   -0.515736 0.000469189
          15   -0.518064   -0.515891 0.000462867
          16   -0.513064   -0.515715 0.000466448
          17   -0.518464   -0.515876 0.000466207
          18   -0.516824   -0.515929  0.00044327
          19   -0.513824   -0.515818 0.000433563
          20   -0.515472   -0.515801  0.00041223
