#   N_BLOCK:  ACCEPTANCE:
           1    0.630845
           2    0.631124
           3    0.630894
           4    0.631263
           5    0.631331
           6    0.631157
           7    0.631252
           8    0.631417
           9    0.631101
          10    0.631207
          11    0.631112
          12    0.630975
          13    0.630898
          14    0.630874
          15     0.63064
          16    0.630586
          17    0.630476
          18    0.630403
          19    0.630427
          20    0.630389
          21    0.630409
          22     0.63037
          23     0.63048
          24    0.630469
          25    0.630386
          26     0.63043
          27    0.630376
          28    0.630405
          29    0.630374
          30    0.630378
          31    0.630419
          32    0.630428
          33    0.630405
          34    0.630449
          35    0.630431
          36     0.63047
          37    0.630501
          38    0.630518
          39    0.630507
          40    0.630525
          41    0.630525
          42    0.630544
          43    0.630503
          44    0.630514
          45    0.630503
          46    0.630479
          47    0.630521
          48    0.630463
          49    0.630492
          50     0.63048
