# DISTANCE:     AVE_GOFR:        ERROR:
0                   0                   0
0.064633                   0                   0
0.129266                   0                   0
0.193899                   0                   0
0.258532                   0                   0
0.323165                   0                   0
0.387798                   0                   0
0.452431                   0                   0
0.517064                   0                   0
0.581697                   0                   0
0.64633                   0                   0
0.710963                   0                   0
0.775596                   0                   0
0.84023         0.000725519         9.20243e-05
0.904863            0.129851         0.000808893
0.969496            0.937651          0.00318072
1.03413             1.80831          0.00509555
1.09876             2.03307          0.00531699
1.16339             1.88319          0.00421401
1.22803             1.65592          0.00375273
1.29266             1.47005          0.00328364
1.35729             1.32876          0.00258253
1.42193             1.22355          0.00208274
1.48656             1.14926          0.00234442
1.55119             1.09289          0.00215257
1.61583             1.05793          0.00153667
1.68046             1.03341          0.00190211
1.74509             1.01475          0.00193082
1.80973              1.0026          0.00148268
1.87436            0.996132           0.0013249
1.93899             0.99237          0.00146354
2.00362            0.993786          0.00154105
2.06826            0.992248          0.00131085
2.13289            0.991404          0.00141025
2.19752            0.989525           0.0011514
2.26216            0.984028          0.00142425
2.32679             0.98281          0.00149399
2.39142            0.977823          0.00135454
2.45606            0.973764          0.00138143
2.52069            0.971333          0.00127223
2.58532            0.968927          0.00118582
2.64995            0.967059         0.000977773
2.71459            0.964222          0.00119217
2.77922              0.9616          0.00106866
2.84385            0.961039           0.0010989
2.90849            0.959501          0.00118796
2.97312            0.958968         0.000809754
3.03775            0.958404         0.000956225
3.10239            0.958072          0.00102755
3.16702            0.958097         0.000893273
3.23165            0.958823          0.00090214
3.29629            0.957373         0.000981074
3.36092            0.957329         0.000895879
3.42555            0.955973         0.000885205
3.49018            0.956977         0.000631335
3.55482            0.958075         0.000864814
3.61945             0.95721         0.000758928
3.68408             0.95744         0.000676951
3.74872            0.955875         0.000668188
3.81335            0.957065         0.000822927
3.87798            0.958265          0.00070337
3.94262            0.957306         0.000772426
4.00725             0.95975         0.000745952
4.07188            0.958552         0.000770632
4.13651            0.958563         0.000636884
4.20115            0.959013         0.000773427
4.26578            0.957888         0.000660424
4.33041            0.958602         0.000692109
4.39505            0.958935         0.000527447
4.45968            0.959568         0.000653197
4.52431            0.959326          0.00062212
4.58895            0.959949         0.000517832
4.65358             0.96034         0.000601217
4.71821            0.960745            0.000577
4.78285            0.959906         0.000591177
4.84748            0.961531         0.000511128
4.91211            0.961353         0.000578267
4.97674            0.961438          0.00060437
5.04138            0.961926          0.00059211
5.10601            0.962667         0.000560724
5.17064            0.961281         0.000642748
5.23528            0.963691         0.000545818
5.29991            0.963185         0.000564759
5.36454              0.9632         0.000499803
5.42918            0.963437         0.000543672
5.49381            0.963161          0.00061583
5.55844             0.96441          0.00052798
5.62307            0.963517         0.000527151
5.68771            0.964311         0.000460753
5.75234            0.964432         0.000514002
5.81697             0.96459         0.000378371
5.88161            0.965062         0.000508538
5.94624             0.96538         0.000409373
6.01087             0.96553         0.000575731
6.07551            0.965367         0.000373071
6.14014            0.965032         0.000487173
6.20477            0.965338          0.00040937
6.2694            0.966184         0.000332012
6.33404             0.96675          0.00044814
6.39867            0.966001         0.000483562
