#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.413685   -0.413685           0
           2   -0.408251   -0.410968  0.00192119
           3   -0.415683    -0.41254   0.0018131
           4   -0.410135   -0.411939  0.00145611
           5   -0.413496    -0.41225  0.00119774
           6   -0.416817   -0.413011  0.00121618
           7   -0.409729   -0.412542  0.00112921
           8   -0.409475   -0.412159  0.00105116
           9   -0.420757   -0.413114  0.00129778
          10   -0.409311   -0.412734  0.00122247
          11   -0.414621   -0.412905   0.0011233
          12   -0.414704   -0.413055  0.00103965
          13   -0.415963   -0.413279  0.00098344
          14   -0.415349   -0.413427 0.000924244
          15   -0.418942   -0.413795 0.000932894
          16   -0.414382   -0.413831  0.00087531
          17   -0.417888    -0.41407 0.000855738
          18   -0.417416   -0.414256 0.000828148
          19   -0.412034   -0.414139 0.000792773
          20   -0.412697   -0.414067 0.000756403
          21   -0.413749   -0.414052 0.000720535
          22   -0.416089   -0.414144 0.000693711
          23     -0.4106    -0.41399 0.000680451
          24   -0.412714   -0.413937 0.000654173
          25   -0.420568   -0.414202 0.000679648
          26   -0.412358   -0.414131   0.0006572
          27   -0.414973   -0.414163 0.000633598
          28   -0.413192   -0.414128 0.000611916
          29   -0.415919    -0.41419 0.000593923
          30   -0.416015    -0.41425 0.000577233
          31    -0.41205   -0.414179 0.000562959
          32   -0.414705   -0.414196 0.000545606
          33   -0.416844   -0.414276 0.000534942
          34   -0.411539   -0.414196  0.00052523
          35   -0.417418   -0.414288 0.000518232
          36   -0.409618   -0.414158 0.000519817
          37   -0.412606   -0.414116 0.000507457
          38   -0.417692    -0.41421 0.000502753
          39   -0.414537   -0.414219 0.000489932
          40   -0.412283    -0.41417 0.000480067
          41   -0.416459   -0.414226 0.000471593
          42   -0.412706    -0.41419 0.000461751
          43    -0.41368   -0.414178 0.000451165
          44    -0.41068   -0.414098  0.00044786
          45   -0.413251    -0.41408 0.000438304
          46   -0.418617   -0.414178 0.000439736
          47   -0.414815   -0.414192 0.000430588
          48    -0.41796    -0.41427 0.000428714
          49   -0.414664   -0.414278 0.000420039
          50   -0.414558   -0.414284 0.000411676
