#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1  -0.0108262  -0.0108262           0
           2    -0.01044  -0.0106331 0.000136542
           3  -0.0109171  -0.0107278 0.000119417
           4  -0.0105434  -0.0106817 9.80577e-05
           5  -0.0105662  -0.0106586 8.11196e-05
           6  -0.0108466  -0.0106899 7.34021e-05
           7  -0.0105724  -0.0106731 6.48071e-05
           8  -0.0101849  -0.0106121 8.04691e-05
           9  -0.0108265  -0.0106359 7.49719e-05
          10  -0.0106654  -0.0106389 6.75325e-05
          11   -0.010692  -0.0106437 6.15655e-05
          12   -0.010692  -0.0106477 5.65663e-05
          13   -0.010954  -0.0106713 5.69099e-05
          14   -0.010762  -0.0106778 5.32124e-05
          15  -0.0108048  -0.0106862 5.03338e-05
          16   -0.010761  -0.0106909 4.74046e-05
          17  -0.0100276  -0.0106519  5.8512e-05
          18  -0.0108438  -0.0106626 5.62248e-05
          19  -0.0106081  -0.0106597 5.33386e-05
          20  -0.0104909  -0.0106512 5.13347e-05
          21  -0.0108578  -0.0106611 4.98234e-05
          22  -0.0106077  -0.0106587 4.76178e-05
          23  -0.0103218   -0.010644 4.77467e-05
          24  -0.0111331  -0.0106644 4.99179e-05
          25  -0.0106334  -0.0106632 4.79365e-05
          26  -0.0107716  -0.0106673 4.62741e-05
          27  -0.0106826  -0.0106679 4.45637e-05
          28  -0.0104776  -0.0106611 4.34874e-05
          29   -0.010576  -0.0106582 4.20867e-05
          30  -0.0111653  -0.0106751 4.39482e-05
          31  -0.0103773  -0.0106655 4.35678e-05
          32  -0.0107011  -0.0106666 4.22205e-05
          33  -0.0107353  -0.0106687 4.09925e-05
          34  -0.0109322  -0.0106764  4.0513e-05
          35  -0.0108471  -0.0106813 3.96478e-05
          36  -0.0106511  -0.0106804 3.85554e-05
          37  -0.0102482  -0.0106688  3.9243e-05
          38  -0.0111118  -0.0106804 3.99049e-05
          39  -0.0106075  -0.0106786 3.89254e-05
          40  -0.0108126  -0.0106819 3.80963e-05
          41  -0.0108845  -0.0106868 3.74863e-05
          42   -0.010248  -0.0106764 3.80223e-05
          43  -0.0111068  -0.0106864 3.84329e-05
          44  -0.0107383  -0.0106876 3.75775e-05
          45  -0.0105271   -0.010684 3.69114e-05
          46  -0.0105803  -0.0106818 3.61779e-05
          47  -0.0106963  -0.0106821 3.54095e-05
          48  -0.0106689  -0.0106818 3.46728e-05
          49  -0.0103615  -0.0106753 3.45758e-05
          50  -0.0104449  -0.0106707   3.419e-05
