#   N_BLOCK:  ACCEPTANCE:
           1    0.510484
           2    0.510802
           3    0.510403
           4    0.510163
           5    0.510283
           6    0.510069
           7    0.510161
           8    0.510475
           9    0.510436
          10     0.51026
          11    0.510189
          12    0.510244
          13    0.510397
          14    0.510419
          15    0.510476
          16     0.51046
          17    0.510424
          18    0.510227
          19    0.510263
          20    0.510389
          21    0.510316
          22    0.510407
          23    0.510421
          24    0.510492
          25    0.510374
          26    0.510364
          27    0.510493
          28    0.510384
          29    0.510394
          30    0.510407
          31    0.510458
          32    0.510474
          33    0.510439
          34    0.510437
          35    0.510441
          36    0.510411
          37    0.510349
          38    0.510328
          39    0.510271
          40    0.510256
          41     0.51025
          42    0.510225
          43    0.510272
          44    0.510204
          45     0.51017
          46    0.510104
          47    0.510093
          48    0.510013
          49    0.510046
          50    0.510037
