# DISTANCE:     AVE_GOFR:        ERROR:
0                   0                   0
0.0256496                   0                   0
0.0512993                   0                   0
0.0769489                   0                   0
0.102599                   0                   0
0.128248                   0                   0
0.153898                   0                   0
0.179547                   0                   0
0.205197                   0                   0
0.230847                   0                   0
0.256496                   0                   0
0.282146                   0                   0
0.307796                   0                   0
0.333445                   0                   0
0.359095                   0                   0
0.384745                   0                   0
0.410394                   0                   0
0.436044                   0                   0
0.461694                   0                   0
0.487343                   0                   0
0.512993                   0                   0
0.538642                   0                   0
0.564292                   0                   0
0.589942                   0                   0
0.615591                   0                   0
0.641241                   0                   0
0.666891                   0                   0
0.69254                   0                   0
0.71819                   0                   0
0.74384                   0                   0
0.769489                   0                   0
0.795139                   0                   0
0.820788                   0                   0
0.846438         1.02934e-05         4.24003e-06
0.872088          0.00115158         4.60069e-05
0.897737           0.0230687         0.000258945
0.923387            0.155251         0.000631349
0.949037            0.534706          0.00163725
0.974686             1.13858          0.00249474
1.00034             1.77123          0.00281503
1.02599             2.22547           0.0022452
1.05164             2.43376          0.00214202
1.07728             2.43523          0.00189949
1.10293             2.30175          0.00158731
1.12858             2.10709          0.00199122
1.15423             1.88845          0.00231494
1.17988             1.68406          0.00212789
1.20553             1.49528          0.00221712
1.23118             1.33277          0.00168763
1.25683             1.19759          0.00177174
1.28248             1.08253          0.00132141
1.30813            0.984532          0.00143493
1.33378             0.90552          0.00139748
1.35943            0.841372          0.00121029
1.38508            0.788668          0.00106477
1.41073            0.746326           0.0010458
1.43638             0.71231          0.00104351
1.46203             0.68697          0.00107438
1.48768            0.668158         0.000965697
1.51333            0.656048          0.00089637
1.53898            0.649373         0.000871483
1.56463            0.648936         0.000928597
1.59028            0.654119          0.00109993
1.61593            0.663611         0.000964351
1.64158            0.679804         0.000853672
1.66723             0.70125          0.00092558
1.69288            0.726198         0.000936453
1.71853            0.756722           0.0011332
1.74418            0.791738          0.00110857
1.76983            0.828528         0.000908512
1.79547            0.868639         0.000945945
1.82112            0.910078         0.000915473
1.84677            0.951457         0.000933819
1.87242            0.992788          0.00107001
1.89807             1.03069          0.00101696
1.92372             1.06772           0.0012574
1.94937             1.10021          0.00103007
1.97502              1.1331         0.000862149
2.00067             1.15644          0.00100365
2.02632             1.17373          0.00100237
2.05197             1.18462         0.000921356
2.07762             1.18679         0.000911043
2.10327             1.18065         0.000897688
2.12892             1.16662         0.000932495
2.15457             1.14835         0.000895527
2.18022             1.12597          0.00102062
2.20587             1.09897         0.000890412
2.23152             1.07203         0.000997479
2.25717             1.04311         0.000848551
2.28282             1.01694         0.000931411
2.30847            0.990915         0.000748428
2.33412            0.967394         0.000892144
2.35977            0.945287         0.000720314
2.38542            0.927041         0.000832606
2.41107            0.911182         0.000694768
2.43672            0.898209         0.000706329
2.46237            0.889015         0.000706111
2.48802            0.875572         0.000740961
2.51366            0.867017         0.000780856
2.53931            0.866662         0.000870438
