#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45885    -5.45885           0
           2    -5.48847    -5.47366   0.0104735
           3    -5.46163    -5.46965  0.00771186
           4    -5.45151    -5.46511  0.00699052
           5    -5.47058    -5.46621  0.00567718
           6    -5.45914    -5.46503  0.00485161
           7     -5.4556    -5.46368  0.00434149
           8    -5.48061     -5.4658  0.00428343
           9    -5.45827    -5.46496  0.00388838
          10    -5.46161    -5.46463  0.00351395
          11       -5.47    -5.46511   0.0032283
          12    -5.47385    -5.46584  0.00304021
          13    -5.47873    -5.46683  0.00296362
          14    -5.47741    -5.46759  0.00284665
          15    -5.47671     -5.4682  0.00272106
          16    -5.47429    -5.46858  0.00257753
          17    -5.46264    -5.46823  0.00244946
          18     -5.4628    -5.46793   0.0023319
          19    -5.47821    -5.46847  0.00227106
          20    -5.47888    -5.46899  0.00221637
          21    -5.45763    -5.46845   0.0021758
          22    -5.49059    -5.46945  0.00229789
          23    -5.46879    -5.46943  0.00219816
          24    -5.46659    -5.46931  0.00210974
          25    -5.45026    -5.46855  0.00215849
          26    -5.47943    -5.46896  0.00211569
          27    -5.49018    -5.46975  0.00217832
          28    -5.45095    -5.46908  0.00220162
          29    -5.47246     -5.4692  0.00212878
          30    -5.45872    -5.46885  0.00208627
          31    -5.46917    -5.46886  0.00201899
          32    -5.46991    -5.46889  0.00195617
          33    -5.46937     -5.4689  0.00189694
          34    -5.47331    -5.46903  0.00184557
          35    -5.47792    -5.46929  0.00181023
          36    -5.45967    -5.46902  0.00177954
          37      -5.452    -5.46856  0.00178992
          38    -5.46433    -5.46845  0.00174628
          39    -5.44898    -5.46795  0.00177141
          40    -5.46509    -5.46788  0.00172857
          41    -5.47093    -5.46795  0.00168801
          42     -5.4411    -5.46731  0.00176476
          43    -5.47784    -5.46756  0.00174062
          44    -5.46728    -5.46755  0.00170108
          45    -5.44708     -5.4671  0.00172301
          46    -5.46148    -5.46698  0.00168987
          47    -5.45799    -5.46678   0.0016647
          48    -5.44509    -5.46633  0.00169024
          49    -5.45765    -5.46615    0.001665
          50     -5.4542    -5.46592   0.0016488
