#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.24668     1.24668           0
           2     1.09369     1.17018   0.0540914
           3     1.24046     1.19361   0.0408194
           4     1.28444     1.21632   0.0363865
           5     1.16527     1.20611   0.0305078
           6     1.24094     1.21191   0.0259697
           7     1.24572     1.21674   0.0227044
           8     1.13069     1.20599   0.0222691
           9     1.20433      1.2058   0.0197955
          10     1.21746     1.20697   0.0178502
          11     1.15679     1.20241   0.0168003
          12     1.15668      1.1986   0.0158265
          13      1.1239     1.19285   0.0156172
          14     1.14673     1.18956   0.0148452
          15     1.12948     1.18555   0.0143856
          16     1.14915     1.18328   0.0136652
          17     1.18646     1.18346   0.0128627
          18     1.23104     1.18611   0.0124167
          19     1.12909     1.18311   0.0121204
          20     1.10915     1.17941   0.0120653
          21     1.22728     1.18169   0.0117041
          22     1.05462     1.17591   0.0125165
          23     1.17985     1.17608   0.0119734
          24     1.15095     1.17504   0.0115202
          25     1.28585     1.17947   0.0118816
          26     1.13985     1.17794   0.0115219
          27     1.05891     1.17354   0.0119088
          28     1.28183      1.1774   0.0120953
          29     1.14483     1.17628   0.0117303
          30     1.25778       1.179   0.0116496
          31      1.1666      1.1786   0.0112806
          32     1.15651     1.17791   0.0109492
          33     1.19841     1.17853    0.010635
          34     1.18207     1.17863   0.0103227
          35     1.12675     1.17715   0.0101337
          36     1.22336     1.17843  0.00993318
          37     1.26841     1.18087  0.00995791
          38     1.21249      1.1817  0.00973057
          39     1.27708     1.18414  0.00978363
          40       1.192     1.18434  0.00954101
          41      1.1722     1.18404   0.0093129
          42     1.29103     1.18659   0.0094331
          43     1.11619     1.18495  0.00935475
          44     1.19392     1.18516  0.00914436
          45     1.29668     1.18764   0.0092709
          46     1.22788     1.18851  0.00911054
          47     1.24523     1.18972  0.00899628
          48     1.32253     1.19248  0.00922455
          49     1.24981     1.19365  0.00911017
          50     1.23038     1.19439  0.00895752
