#   N_BLOCK:  ACCEPTANCE:
           1    0.473253
           2     0.47338
           3    0.473389
           4    0.473291
           5    0.473298
           6    0.473202
           7    0.473179
           8    0.473065
           9    0.472981
          10     0.47289
          11    0.472948
          12    0.472914
          13    0.472844
          14    0.472871
          15    0.472903
          16    0.472825
          17    0.472853
          18    0.472771
          19    0.472725
          20    0.472736
          21    0.472672
          22    0.472627
          23    0.472616
          24    0.472645
          25    0.472592
          26    0.472602
          27    0.472649
          28    0.472665
          29    0.472616
          30    0.472645
          31    0.472635
          32    0.472613
          33    0.472602
          34    0.472592
          35    0.472595
          36    0.472591
          37    0.472607
          38    0.472623
          39    0.472612
          40     0.47263
          41    0.472585
          42    0.472568
          43    0.472564
          44    0.472536
          45    0.472575
          46    0.472565
          47    0.472595
          48    0.472605
          49    0.472618
          50    0.472637
