# DISTANCE:     AVE_GOFR:        ERROR:
0                   0                   0
0.0230664                   0                   0
0.0461329                   0                   0
0.0691993                   0                   0
0.0922657                   0                   0
0.115332                   0                   0
0.138399                   0                   0
0.161465                   0                   0
0.184531                   0                   0
0.207598                   0                   0
0.230664                   0                   0
0.253731                   0                   0
0.276797                   0                   0
0.299864                   0                   0
0.32293                   0                   0
0.345996                   0                   0
0.369063                   0                   0
0.392129                   0                   0
0.415196                   0                   0
0.438262                   0                   0
0.461329                   0                   0
0.484395                   0                   0
0.507461                   0                   0
0.530528                   0                   0
0.553594                   0                   0
0.576661                   0                   0
0.599727                   0                   0
0.622794                   0                   0
0.64586                   0                   0
0.668926                   0                   0
0.691993                   0                   0
0.715059                   0                   0
0.738126                   0                   0
0.761192                   0                   0
0.784259                   0                   0
0.807325                   0                   0
0.830391                   0                   0
0.853458         7.51434e-07         7.43726e-07
0.876524         7.06731e-05         1.04181e-05
0.899591           0.0032418         6.73189e-05
0.922657             0.04471         0.000311744
0.945724             0.28073          0.00104843
0.96879            0.962102          0.00178714
0.991856             2.14259          0.00267879
1.01492             3.46723          0.00188539
1.03799             4.42154          0.00241783
1.06106             4.69031          0.00327582
1.08412             4.30532          0.00340063
1.10719              3.5112           0.0026986
1.13026             2.59121          0.00217723
1.15332             1.74633          0.00171764
1.17639             1.08873          0.00136966
1.19945            0.629297          0.00129188
1.22252            0.340346          0.00105573
1.24559            0.173625         0.000920824
1.26865           0.0858446         0.000603791
1.29172           0.0482745         0.000440971
1.31479           0.0414066          0.00035099
1.33785           0.0591919          0.00036663
1.36092            0.103114         0.000495009
1.38399            0.177388          0.00061834
1.40705            0.290608         0.000647112
1.43012            0.439362         0.000669088
1.45319            0.608311          0.00060284
1.47625            0.773505         0.000869984
1.49932            0.893781          0.00108223
1.52238            0.941433          0.00127615
1.54545            0.902155          0.00146521
1.56852            0.784911         0.000819783
1.59158             0.62277          0.00060106
1.61465            0.452311         0.000500106
1.63772            0.308048          0.00062851
1.66078            0.213672         0.000691744
1.68385            0.187292         0.000830472
1.70692            0.248869          0.00109462
1.72998            0.423241          0.00124374
1.75305            0.729601          0.00122965
1.77612             1.16685          0.00104233
1.79918             1.68687         0.000747079
1.82225             2.17927          0.00126059
1.84531              2.5341          0.00207502
1.86838             2.64786          0.00217223
1.89145             2.49502           0.0022431
1.91451             2.12986          0.00153331
1.93758             1.65106         0.000997729
1.96065             1.17286          0.00088507
1.98371            0.783198          0.00105605
2.00678            0.529557          0.00109744
2.02985            0.424466          0.00123692
2.05291            0.451267          0.00107515
2.07598            0.574161          0.00076011
2.09905            0.741601         0.000629309
2.12211            0.898686          0.00064954
2.14518            0.992985         0.000993349
2.16824              1.0012          0.00104666
2.19131            0.901491         0.000782645
2.21438            0.765896         0.000568278
2.23744            0.640443         0.000645462
2.26051            0.559794          0.00101727
2.28358            0.561481          0.00128115
