#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.56588    -7.56588           0
           2    -7.54629    -7.55608  0.00692644
           3    -7.53916    -7.55044  0.00652077
           4    -7.54111    -7.54811  0.00529171
           5    -7.55108     -7.5487  0.00426662
           6    -7.54677    -7.54838  0.00356762
           7     -7.5388    -7.54701  0.00331035
           8    -7.53992    -7.54613  0.00301277
           9    -7.53812    -7.54524  0.00280637
          10    -7.54634    -7.54535  0.00252792
          11    -7.55698     -7.5464  0.00250947
          12    -7.55035    -7.54673  0.00232177
          13    -7.52363    -7.54496  0.00274001
          14    -7.55161    -7.54543   0.0025852
          15    -7.55643    -7.54616  0.00251469
          16    -7.54789    -7.54627  0.00235983
          17    -7.55935    -7.54704  0.00234313
          18    -7.54013    -7.54666  0.00224415
          19     -7.5399     -7.5463  0.00215407
          20    -7.54124    -7.54605  0.00206118
          21    -7.53581    -7.54556  0.00201985
          22     -7.5423    -7.54541  0.00193346
          23    -7.55153    -7.54568  0.00186758
          24    -7.54188    -7.54552  0.00179646
          25    -7.54726    -7.54559  0.00172595
          26    -7.55533    -7.54597  0.00169977
          27    -7.55831    -7.54642   0.0016972
          28    -7.54109    -7.54623  0.00164722
          29    -7.54359    -7.54614  0.00159295
          30    -7.52749    -7.54552  0.00165672
          31    -7.53703    -7.54525  0.00162574
          32    -7.55286    -7.54548  0.00159228
          33    -7.54273     -7.5454   0.0015462
          34    -7.55463    -7.54567  0.00152435
          35    -7.54911    -7.54577  0.00148396
          36    -7.55541    -7.54604  0.00146672
          37    -7.54061    -7.54589   0.0014344
          38    -7.54031    -7.54574  0.00140415
          39    -7.54149    -7.54564  0.00137237
          40    -7.55871    -7.54596  0.00137646
          41    -7.55021    -7.54607  0.00134678
          42    -7.53024    -7.54569  0.00136638
          43    -7.56261    -7.54608  0.00139009
          44    -7.53889    -7.54592  0.00136807
          45    -7.53428    -7.54566  0.00136191
          46    -7.55177    -7.54579  0.00133876
          47     -7.5393    -7.54566  0.00131738
          48    -7.55062    -7.54576  0.00129398
          49    -7.55066    -7.54586  0.00127143
          50    -7.54094    -7.54576  0.00124981
