#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     8.50014     8.50014           0
           2     8.60662     8.55338   0.0376445
           3     8.64798     8.58491   0.0359548
           4     8.63746     8.59805   0.0292673
           5     8.58213     8.59487   0.0235864
           6     8.60276     8.59618    0.019692
           7      8.6479     8.60357   0.0182124
           8     8.64238     8.60842   0.0165693
           9     8.65065     8.61311   0.0153783
          10     8.61018     8.61282   0.0138433
          11     8.54969     8.60708   0.0137231
          12      8.5877     8.60547   0.0126742
          13     8.73046     8.61508   0.0149066
          14     8.57745     8.61239   0.0140821
          15     8.54972     8.60821   0.0137492
          16     8.59764     8.60755   0.0129057
          17     8.53953     8.60355   0.0127519
          18     8.63799     8.60547   0.0121861
          19     8.64375     8.60748   0.0117101
          20      8.6359      8.6089   0.0112105
          21     8.66588     8.61161   0.0110001
          22     8.63265     8.61257   0.0105416
          23     8.58331      8.6113   0.0101597
          24     8.63249     8.61218  0.00977469
          25     8.59905     8.61166  0.00939779
          26     8.55599     8.60952    0.009277
          27     8.54218     8.60702  0.00926254
          28     8.63535     8.60803  0.00898683
          29      8.6262     8.60866  0.00869875
          30      8.7122     8.61211  0.00906763
          31     8.65986     8.61365    0.008905
          32     8.57376      8.6124  0.00871355
          33      8.6261     8.61282  0.00845938
          34     8.55857     8.61122   0.0083597
          35     8.59399     8.61073  0.00813535
          36     8.55507     8.60919  0.00805496
          37     8.63983     8.61001  0.00787972
          38      8.6391     8.61078  0.00770944
          39     8.63586     8.61142  0.00753854
          40     8.53764     8.60958  0.00757238
          41     8.58548     8.60899  0.00741046
          42     8.69592     8.61106  0.00751751
          43     8.51811      8.6089  0.00764718
          44     8.64816     8.60979  0.00752526
          45     8.67372     8.61121  0.00749093
          46     8.57255     8.61037  0.00737508
          47     8.64725     8.61115  0.00725978
          48     8.58132     8.61053  0.00713508
          49     8.58281     8.60997  0.00701186
          50     8.63268     8.61042  0.00688633
