# DISTANCE:     AVE_GOFR:        ERROR:
0                   0                   0
0.064633                   0                   0
0.129266                   0                   0
0.193899                   0                   0
0.258532                   0                   0
0.323165                   0                   0
0.387798                   0                   0
0.452431                   0                   0
0.517064                   0                   0
0.581697                   0                   0
0.64633                   0                   0
0.710963                   0                   0
0.775596                   0                   0
0.84023          0.00104462         0.000436764
0.904863            0.139877          0.00877001
0.969496             0.91312           0.0282242
1.03413             1.75111           0.0397541
1.09876              2.0251           0.0584313
1.16339             1.86234           0.0494629
1.22803             1.58242           0.0416247
1.29266             1.42685           0.0304309
1.35729             1.30412           0.0351085
1.42193             1.19694           0.0253676
1.48656             1.14549           0.0227387
1.55119             1.10204           0.0217926
1.61583             1.05207           0.0228916
1.68046             1.03004           0.0254012
1.74509            0.991233           0.0238258
1.80973            0.968651            0.018441
1.87436            0.971551           0.0182442
1.93899            0.967348           0.0197171
2.00362             0.96198           0.0162867
2.06826            0.983857           0.0175499
2.13289            0.963303           0.0142083
2.19752            0.986665            0.015663
2.26216            0.960136           0.0136826
2.32679            0.951293           0.0137812
2.39142            0.945305           0.0120896
2.45606            0.954808           0.0124415
2.52069            0.943327           0.0113445
2.58532            0.951407           0.0143243
2.64995             0.97406            0.013751
2.71459            0.961511           0.0126864
2.77922            0.950497           0.0138938
2.84385             0.95576           0.0139907
2.90849            0.956284           0.0128863
2.97312            0.952699           0.0124647
3.03775            0.953668           0.0135678
3.10239            0.948602            0.011713
3.16702            0.923627           0.0101612
3.23165            0.929638          0.00920817
3.29629            0.951448           0.0107287
3.36092            0.944566           0.0100049
3.42555            0.932467           0.0103624
3.49018            0.933623           0.0101883
3.55482            0.931813           0.0093105
3.61945            0.927587          0.00847431
3.68408             0.93977          0.00863671
3.74872            0.932468          0.00870365
3.81335            0.929348          0.00913458
3.87798            0.934319          0.00993722
3.94262            0.943324          0.00866389
4.00725            0.941006          0.00882307
4.07188            0.955609          0.00875306
4.13651            0.951916          0.00887534
4.20115            0.954554          0.00748895
4.26578             0.94785          0.00753326
4.33041            0.956668          0.00779535
4.39505            0.964512           0.0103619
4.45968            0.956009          0.00839972
4.52431            0.960348          0.00786687
4.58895            0.961171          0.00612004
4.65358            0.965946          0.00699989
4.71821            0.969605          0.00772591
4.78285            0.964744          0.00765539
4.84748             0.96417          0.00782561
4.91211            0.966431          0.00757825
4.97674              0.9643          0.00592109
5.04138             0.96027          0.00653668
5.10601            0.957415          0.00753057
5.17064            0.957399            0.007509
5.23528            0.966006          0.00585882
5.29991            0.961539          0.00571734
5.36454            0.961729          0.00560501
5.42918            0.967758          0.00641727
5.49381            0.969656          0.00691239
5.55844            0.961221          0.00703164
5.62307            0.963782          0.00687228
5.68771            0.956171           0.0063646
5.75234            0.958071          0.00566081
5.81697            0.963027          0.00506335
5.88161            0.965134          0.00627354
5.94624             0.96733          0.00554828
6.01087            0.971715          0.00587061
6.07551            0.974154           0.0060357
6.14014            0.975709          0.00566583
6.20477            0.978832          0.00460879
6.2694            0.975606           0.0064992
6.33404            0.984012          0.00597996
6.39867            0.973746          0.00526049
