#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.443854   -0.443854           0
           2   -0.426308   -0.435081  0.00620334
           3   -0.419323   -0.429828  0.00595796
           4   -0.413565   -0.425763  0.00568905
           5   -0.416003   -0.423811  0.00487462
           6   -0.416089   -0.422524  0.00422864
           7   -0.403894   -0.419862  0.00438274
           8   -0.418586   -0.419703  0.00383781
           9   -0.439128   -0.421861  0.00397222
          10   -0.421586   -0.421834   0.0035751
          11   -0.452997   -0.424667  0.00422603
          12    -0.42928   -0.425051   0.0038913
          13   -0.425572   -0.425091  0.00359218
          14   -0.456315   -0.427321  0.00396801
          15   -0.458887   -0.429426  0.00422478
          16   -0.457355   -0.431171  0.00430629
          17    -0.45568   -0.432613  0.00428751
          18   -0.455261   -0.433871  0.00422991
          19   -0.474311      -0.436  0.00451109
          20     -0.4391   -0.436155   0.0042882
          21   -0.409774   -0.434898  0.00426403
          22   -0.354431   -0.431241  0.00541634
          23   -0.370582   -0.428604  0.00578742
          24   -0.362298   -0.425841  0.00617057
          25   -0.341678   -0.422474  0.00678019
          26   -0.379121   -0.420807  0.00672132
          27   -0.352994   -0.418295  0.00692577
          28   -0.386327   -0.417153  0.00677187
          29   -0.404006     -0.4167  0.00655352
          30   -0.370656   -0.415165  0.00651231
          31   -0.349069   -0.413033   0.0066421
          32   -0.387818   -0.412245  0.00648111
          33   -0.354527   -0.410496  0.00651644
          34   -0.348515   -0.408673  0.00657483
          35   -0.375033   -0.407712  0.00645685
          36   -0.434495   -0.408456   0.0063202
          37   -0.382598   -0.407757  0.00618791
          38   -0.350279   -0.406245  0.00620719
          39   -0.390501   -0.405841  0.00606114
          40   -0.419417    -0.40618   0.0059191
