#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1  -0.0094223  -0.0094223           0
           2   -0.010498 -0.00996017 0.000380336
           3  -0.0136265  -0.0111823  0.00102957
           4  -0.0103542  -0.0109753 0.000792716
           5 -0.00593979 -0.00996818  0.00110162
           6 -0.00933667 -0.00986293 0.000923033
           7  -0.0133445  -0.0103603 0.000915417
           8  -0.0116703   -0.010524 0.000815504
           9  -0.0117817  -0.0106638 0.000736768
          10  -0.0133554  -0.0109329 0.000710559
          11  -0.0104305  -0.0108873 0.000647429
          12  -0.0114115   -0.010931 0.000594949
          13   -0.011619  -0.0109839 0.000551532
          14  -0.0102768  -0.0109334 0.000514445
          15  -0.0109617  -0.0109353 0.000480152
          16  -0.0149002  -0.0111831 0.000510097
          17  -0.0116451  -0.0112102 0.000480815
          18  -0.0136075  -0.0113434 0.000472187
          19  -0.0147371   -0.011522  0.00047993
          20  -0.0106278  -0.0114773 0.000458012
          21  -0.0111835  -0.0114633 0.000436415
          22  -0.0119198  -0.0114841 0.000417071
          23 -0.00673647  -0.0112777  0.00044711
          24 -0.00569485   -0.011045 0.000485234
          25 -0.00943805  -0.0109808 0.000470063
          26 -0.00886822  -0.0108995 0.000458952
          27  -0.0139445  -0.0110123 0.000455599
          28 -0.00582396   -0.010827 0.000475518
          29  -0.0075399  -0.0107136 0.000472437
          30  -0.0121225  -0.0107606 0.000459018
          31  -0.0125573  -0.0108186 0.000447855
          32 -0.00928286  -0.0107706 0.000436423
          33 -0.00604725  -0.0106274 0.000446052
          34 -0.00656522   -0.010508 0.000448649
          35 -0.00865224  -0.0104549 0.000438952
          36 -0.00687822  -0.0103556 0.000437858
          37  -0.0102506  -0.0103528 0.000426034
          38  -0.0103092  -0.0103516 0.000414824
          39 -0.00953713  -0.0103307 0.000404713
          40 -0.00703538  -0.0102483 0.000402893
