# DISTANCE:     AVE_GOFR:        ERROR:
0                   0                   0
0.0256496                   0                   0
0.0512993                   0                   0
0.0769489                   0                   0
0.102599                   0                   0
0.128248                   0                   0
0.153898                   0                   0
0.179547                   0                   0
0.205197                   0                   0
0.230847                   0                   0
0.256496                   0                   0
0.282146                   0                   0
0.307796                   0                   0
0.333445                   0                   0
0.359095                   0                   0
0.384745                   0                   0
0.410394                   0                   0
0.436044                   0                   0
0.461694                   0                   0
0.487343                   0                   0
0.512993                   0                   0
0.538642                   0                   0
0.564292                   0                   0
0.589942                   0                   0
0.615591                   0                   0
0.641241                   0                   0
0.666891                   0                   0
0.69254                   0                   0
0.71819                   0                   0
0.74384                   0                   0
0.769489                   0                   0
0.795139                   0                   0
0.820788                   0                   0
0.846438         8.22995e-06         8.12376e-06
0.872088          0.00144797         0.000242897
0.897737           0.0223609         0.000868663
0.923387            0.161758          0.00256073
0.949037            0.551783          0.00486468
0.974686             1.16664          0.00726238
1.00034              1.7907           0.0113682
1.02599             2.23775            0.010695
1.05164             2.43458           0.0117397
1.07728             2.42175           0.0103641
1.10293             2.29303          0.00849365
1.12858              2.1047          0.00910035
1.15423             1.87848           0.0100782
1.17988             1.68695          0.00959363
1.20553             1.49314          0.00765063
1.23118              1.3244          0.00761538
1.25683             1.18972          0.00597978
1.28248             1.06526          0.00725962
1.30813            0.971434          0.00688246
1.33378            0.885411          0.00521085
1.35943            0.827679          0.00532623
1.38508            0.785761          0.00626538
1.41073            0.740145          0.00484457
1.43638            0.711262          0.00419857
1.46203            0.691081          0.00512228
1.48768            0.675931          0.00521065
1.51333            0.665931          0.00367954
1.53898             0.65411          0.00513969
1.56463            0.647622           0.0053352
1.59028            0.649589          0.00484135
1.61593            0.666891          0.00417873
1.64158            0.691889          0.00475428
1.66723            0.710409          0.00476702
1.69288            0.737579          0.00483294
1.71853            0.767314          0.00431825
1.74418            0.800903          0.00447102
1.76983            0.833907          0.00487726
1.79547            0.876249          0.00472483
1.82112            0.912167          0.00557189
1.84677            0.953798          0.00514016
1.87242            0.985366          0.00479047
1.89807             1.02619           0.0042178
1.92372              1.0643          0.00495934
1.94937             1.09719          0.00474945
1.97502              1.1331           0.0045178
2.00067             1.15644          0.00457629
2.02632             1.17537          0.00505367
2.05197             1.18842          0.00413811
2.07762             1.18596           0.0042512
2.10327             1.18293           0.0034217
2.12892             1.16437          0.00514008
2.15457             1.14168          0.00440363
2.18022             1.11651          0.00451715
2.20587              1.0915          0.00368509
2.23152             1.06392          0.00329039
2.25717             1.03239          0.00378188
2.28282             1.00247          0.00392219
2.30847            0.979651          0.00415377
2.33412            0.962587          0.00390948
2.35977            0.938105          0.00362924
2.38542            0.922315          0.00332242
2.41107            0.910844          0.00365925
2.43672            0.896657          0.00341205
2.46237            0.895016          0.00264457
2.48802            0.887103          0.00354947
2.51366            0.878537          0.00370827
2.53931            0.876055          0.00330406
