#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.17729     1.17729           0
           2     1.32383     1.25056   0.0518114
           3     1.26917     1.25677   0.0349104
           4     1.20473     1.24376   0.0285035
           5     1.17118     1.22924   0.0262402
           6     1.38597     1.25536   0.0323537
           7     1.19405      1.2466    0.028893
           8     1.15029     1.23456   0.0276762
           9     1.16027     1.22631   0.0258029
          10     1.21011     1.22469   0.0232734
          11     1.20556     1.22295   0.0212225
          12     1.25153     1.22533   0.0195871
          13     1.39334     1.23826   0.0219335
          14     1.40661     1.25028   0.0234325
          15      1.2712     1.25168   0.0219118
          16     1.20266     1.24861   0.0207553
          17     1.55702     1.26675   0.0262935
          18     1.37739      1.2729   0.0255411
          19     1.23817     1.27107   0.0242621
          20     1.60676     1.28786   0.0282646
          21     1.25766     1.28642   0.0269552
          22     1.26375     1.28539   0.0257497
          23     1.19233     1.28134    0.024946
          24     1.65591     1.29695   0.0283717
          25     1.28915     1.29664   0.0272386
          26     1.23573     1.29429   0.0262915
          27     1.34872     1.29631   0.0253949
          28     1.27958     1.29571    0.024495
          29     1.25161     1.29419   0.0236975
          30     1.31399     1.29485   0.0229167
          31     1.32533     1.29584   0.0221986
          32     1.39941     1.29907   0.0217395
          33     1.30355     1.29921   0.0210812
          34     1.27103     1.29838   0.0204774
          35     1.34859     1.29981   0.0199426
          36     1.29649     1.29972   0.0193888
          37     1.14495     1.29554   0.0193108
          38     1.32735     1.29638   0.0188207
          39     1.17477     1.29326   0.0185946
          40     1.22782     1.29162   0.0182016
