# DISTANCE:     AVE_GOFR:        ERROR:
0                   0                   0
0.0230664                   0                   0
0.0461329                   0                   0
0.0691993                   0                   0
0.0922657                   0                   0
0.115332                   0                   0
0.138399                   0                   0
0.161465                   0                   0
0.184531                   0                   0
0.207598                   0                   0
0.230664                   0                   0
0.253731                   0                   0
0.276797                   0                   0
0.299864                   0                   0
0.32293                   0                   0
0.345996                   0                   0
0.369063                   0                   0
0.392129                   0                   0
0.415196                   0                   0
0.438262                   0                   0
0.461329                   0                   0
0.484395                   0                   0
0.507461                   0                   0
0.530528                   0                   0
0.553594                   0                   0
0.576661                   0                   0
0.599727                   0                   0
0.622794                   0                   0
0.64586                   0                   0
0.668926                   0                   0
0.691993                   0                   0
0.715059                   0                   0
0.738126                   0                   0
0.761192                   0                   0
0.784259                   0                   0
0.807325                   0                   0
0.830391                   0                   0
0.853458         1.41616e-05         1.39789e-05
0.876524          4.1258e-05         2.75536e-05
0.899591          0.00358246         0.000327169
0.922657           0.0491626          0.00122493
0.945724            0.298921           0.0028454
0.96879            0.996031          0.00496724
0.991856              2.1977          0.00670919
1.01492             3.48756          0.00969216
1.03799             4.38587          0.00906116
1.06106             4.62068          0.00775794
1.08412             4.25122          0.00822324
1.10719             3.46393          0.00960312
1.13026             2.58272           0.0075777
1.15332              1.7582          0.00761703
1.17639             1.10394          0.00565976
1.19945            0.653044          0.00376195
1.22252            0.355596          0.00314413
1.24559            0.182214          0.00255716
1.26865           0.0933392          0.00164412
1.29172           0.0515103          0.00142058
1.31479           0.0430702          0.00152512
1.33785           0.0610687          0.00175584
1.36092            0.108752           0.0022774
1.38399            0.183851          0.00192913
1.40705            0.293571          0.00232469
1.43012            0.443778          0.00287933
1.45319            0.614072           0.0029054
1.47625            0.767165          0.00368163
1.49932            0.882341          0.00378733
1.52238            0.925167          0.00412391
1.54545            0.890345          0.00507759
1.56852            0.776254          0.00335574
1.59158            0.621972          0.00280964
1.61465            0.456826           0.0022709
1.63772            0.315392          0.00242044
1.66078            0.223068          0.00218312
1.68385            0.197211           0.0020805
1.70692            0.261717          0.00291475
1.72998            0.441205          0.00308657
1.75305            0.751122          0.00320751
1.77612             1.17959           0.0038545
1.79918             1.69374          0.00455498
1.82225             2.17101          0.00470537
1.84531             2.50085          0.00569454
1.86838             2.60576          0.00682949
1.89145             2.45439            0.006376
1.91451             2.11123          0.00542214
1.93758             1.64697          0.00350764
1.96065             1.19015          0.00383772
1.98371            0.801637          0.00336137
2.00678            0.551069          0.00311232
2.02985            0.447703           0.0034197
2.05291            0.467631          0.00275277
2.07598              0.5825          0.00239613
2.09905            0.741532          0.00245354
2.12211            0.885399          0.00271722
2.14518            0.973392          0.00333763
2.16824            0.974844          0.00297847
2.19131            0.897347            0.003228
2.21438            0.771488          0.00241331
2.23744            0.649002          0.00235104
2.26051            0.574301          0.00325026
2.28358            0.577887          0.00389646
