#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     8.77885     8.77885           0
           2     8.74154     8.76019   0.0131914
           3     8.73543     8.75194   0.0110799
           4     8.73866     8.74862  0.00879346
           5     8.75144     8.74918  0.00705281
           6     8.77313     8.75317  0.00691508
           7     8.73363     8.75038  0.00646615
           8     8.73212      8.7481  0.00604757
           9     8.81421     8.75544  0.00876679
          10     8.75268     8.75517  0.00789446
          11     8.79573     8.75886  0.00799179
          12     8.78651     8.76116  0.00765089
          13     8.75478     8.76067  0.00707809
          14     8.74248     8.75937  0.00669073
          15     8.75292     8.75894   0.0062585
          16     8.78266     8.76042  0.00604045
          17     8.77093     8.76104  0.00571667
          18     8.74328     8.76005  0.00548357
          19      8.7701     8.76058   0.0052204
          20     8.77509     8.76131  0.00500954
          21      8.7474     8.76065  0.00481457
          22     8.77741     8.76141  0.00465562
          23     8.80347     8.76324  0.00479898
          24     8.78187     8.76401   0.0046614
          25     8.76571     8.76408  0.00447544
          26     8.74886      8.7635  0.00434143
          27     8.79543     8.76468  0.00433872
          28     8.76675     8.76475  0.00418439
          29       8.772       8.765  0.00404757
          30     8.75729     8.76474  0.00392081
          31     8.78188      8.7653  0.00383309
          32     8.75415     8.76495  0.00372911
          33     8.75901     8.76477  0.00362044
          34      8.7634     8.76473  0.00351418
          35     8.78369     8.76527  0.00345527
          36      8.7556       8.765  0.00336972
          37     8.79839      8.7659   0.0033973
          38     8.78164     8.76632  0.00333302
          39     8.72091     8.76515  0.00344497
          40     8.75159     8.76481  0.00337548
