Energy               Error          Acceptance
-0.457183                   0                0.62
-0.458375          0.00119141               0.587
-0.445647           0.0127465               0.598
-0.451823           0.0109263               0.612
-0.444171           0.0114099               0.593
-0.444299          0.00931703               0.639
-0.448902          0.00912058               0.615
-0.449572          0.00792702               0.585
-0.450941           0.0071239               0.595
-0.449022          0.00665456               0.616
-0.450289          0.00615115                 0.6
-0.448503          0.00589232               0.581
-0.444204          0.00691852               0.614
-0.445313          0.00650059               0.603
-0.445683          0.00606308               0.594
-0.446633           0.0057504               0.579
-0.446363          0.00540827               0.578
-0.447196          0.00516653               0.612
-0.448759           0.0051307               0.615
-0.447021          0.00516811               0.581
-0.447848          0.00498482               0.606
-0.447489          0.00476635               0.626
-0.448518          0.00466908               0.614
-0.449085          0.00450617               0.606
-0.448996          0.00432308               0.611
-0.448013          0.00426836               0.594
-0.448176          0.00411046                0.58
-0.44805          0.00396292               0.608
-0.447131          0.00393286               0.587
-0.446785          0.00381517               0.604
-0.446248          0.00372893               0.593
-0.446188          0.00361103               0.604
-0.446109          0.00350078               0.593
-0.447611          0.00371383                0.59
-0.446917          0.00367245               0.655
-0.44762          0.00363761               0.625
-0.448066          0.00356594               0.611
-0.448405          0.00348733               0.619
-0.448597          0.00340216               0.606
-0.448793          0.00332184               0.622
-0.44901          0.00324703               0.609
-0.449471          0.00320211               0.592
-0.448455          0.00328758               0.597
-0.447803          0.00327748                0.62
-0.448323          0.00324574               0.611
-0.448496          0.00317909               0.594
-0.448069          0.00313983               0.625
-0.447715          0.00309402                0.58
-0.447313          0.00305677               0.585
-0.447224          0.00299634               0.632
-0.447614          0.00296275               0.589
-0.447493          0.00290774               0.572
-0.447108          0.00287816               0.589
-0.446903          0.00283182               0.583
-0.446887           0.0027799               0.632
-0.446948          0.00273049               0.609
-0.446714          0.00269237               0.575
-0.446524          0.00265233                0.62
-0.446976          0.00264582                0.61
-0.447027          0.00260185               0.614
-0.446939          0.00256033               0.615
-0.446909          0.00251889               0.601
-0.446611          0.00249643                0.58
-0.445912          0.00255459               0.593
-0.44604          0.00251826               0.604
-0.445966          0.00248093               0.569
-0.446184          0.00245332               0.612
-0.445986          0.00242503               0.619
-0.446203          0.00239945               0.599
-0.445766          0.00240496               0.613
-0.445682          0.00237232               0.573
-0.446257          0.00240879               0.612
-0.446369          0.00237818                0.61
-0.446587          0.00235592               0.594
-0.446742          0.00232949               0.616
-0.447192          0.00234221               0.606
-0.446434          0.00243277               0.621
-0.446469          0.00240164               0.636
-0.446844           0.0024005               0.576
-0.446996          0.00237517               0.633
-0.446161          0.00248978                 0.6
-0.44649          0.00248105               0.605
-0.446508          0.00245104               0.606
-0.446601          0.00242348                0.63
-0.446698          0.00239674               0.594
-0.446858          0.00237413               0.627
-0.446949          0.00234846               0.633
-0.447362          0.00235801               0.632
-0.44714           0.0023419               0.614
-0.447137          0.00231574               0.637
-0.446865          0.00230621               0.628
-0.446806          0.00228177                0.59
-0.446877           0.0022582               0.607
-0.446964          0.00223577               0.601
-0.446919          0.00221257                0.61
-0.446841          0.00219079               0.601
-0.446581          0.00218373               0.635
-0.446771          0.00216974               0.597
-0.446554          0.00215869               0.648
-0.446372          0.00214473               0.607
